Network,School ID,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
ES Network - Austin-North Lawndale,610034,Lawndale,478,0,0.0,472,98.7,0,0.0,0,0.0,5,1.0,1,0.2,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610305,Leland,170,0,0.0,167,98.2,0,0.0,0,0.0,3,1.8,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610036,Lewis,569,7,1.2,466,81.9,0,0.0,0,0.0,92,16.2,3,0.5,0,0.0,0,0.0,1,0.2,,,
ES Network - Austin-North Lawndale,610043,Lovett,488,0,0.0,428,87.7,0,0.0,0,0.0,56,11.5,2,0.4,0,0.0,2,0.4,0,0.0,,,
ES Network - Austin-North Lawndale,610056,Mason,485,0,0.0,482,99.4,0,0.0,0,0.0,2,0.4,1,0.2,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610058,May,463,0,0.0,460,99.4,0,0.0,1,0.2,1,0.2,1,0.2,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610282,McNair,395,1,0.3,355,89.9,0,0.0,1,0.3,33,8.4,2,0.5,0,0.0,0,0.0,3,0.8,,,
ES Network - Austin-North Lawndale,610092,Nash,392,1,0.3,377,96.2,0,0.0,0,0.0,13,3.3,1,0.3,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610123,Penn,370,0,0.0,307,83.0,0,0.0,0,0.0,63,17.0,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610131,Plamondon,178,1,0.6,37,20.8,0,0.0,1,0.6,138,77.5,1,0.6,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610134,Pope,184,0,0.0,165,89.7,0,0.0,1,0.5,18,9.8,0,0.0,0,0.0,0,0.0,0,0.0,,,
ES Network - Austin-North Lawndale,610158,Sayre,592,62,10.5,232,39.2,0,0.0,1,0.2,261,44.1,29,4.9,5,0.8,0,0.0,2,0.3,,,
ES Network - Austin-North Lawndale,610183,Spencer,838,1,0.1,827,98.7,0,0.0,0,0.0,5,0.6,1,0.1,0,0.0,0,0.0,4,0.5,,,
ES Network - Austin-North Lawndale,610235,Young,"1,121",0,0.0,992,88.5,0,0.0,3,0.3,117,10.4,6,0.5,1,0.1,2,0.2,0,0.0,,,
ES Network - Burnham Park,609951,Ariel,559,0,0.0,543,97.1,0,0.0,0,0.0,14,2.5,2,0.4,0,0.0,0,0.0,0,0.0,,,
