Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Rock Island Elementary Network,609788,2150,Barnard,272,2,0.7,265,97.4,0,0,0,0,4,1.5,1,0.4,0,0,0,0,0,0,,,
Fullerton Elementary Network,609789,2160,Barry,796,14,1.8,13,1.6,0,0,1,0.1,757,95.1,7,0.9,4,0.5,0,0,0,0,,,
Englewood-Gresham Elementary Network,609790,2170,Barton,596,1,0.2,590,99,0,0,0,0,4,0.7,0,0,0,0,0,0,1,0.2,,,
Englewood-Gresham Elementary Network,609791,2180,Bass,367,0,0,356,97,0,0,0,0,10,2.7,1,0.3,0,0,0,0,0,0,,,
O'Hare Elementary Network,609792,2190,Bateman,1014,90,8.9,23,2.3,0,0,7,0.7,783,77.2,4,0.4,61,6,2,0.2,44,4.3,,,
O'Hare Elementary Network,610083,4950,Beard,160,51,31.9,14,8.8,0,0,2,1.3,72,45,4,2.5,16,10,0,0,1,0.6,,,
Burnham Park Elementary Network,610246,6660,Beasley Magnet,1363,0,0,1319,96.8,0,0,5,0.4,24,1.8,10,0.7,2,0.1,1,0.1,2,0.1,,,
O'Hare Elementary Network,609796,2240,Beaubien,1172,434,37,17,1.5,1,0.1,5,0.4,485,41.4,62,5.3,163,13.9,3,0.3,2,0.2,,,
Burnham Park Elementary Network,610237,6540,Beethoven,409,2,0.5,393,96.1,0,0,0,0,4,1,2,0.5,0,0,0,0,8,2,,,
Garfield-Humboldt Elementary Network,609797,2250,Beidler,406,0,0,387,95.3,0,0,2,0.5,16,3.9,1,0.2,0,0,0,0,0,0,,,
O'Hare Elementary Network,609798,2260,Belding,657,238,36.2,42,6.4,0,0,3,0.5,314,47.8,10,1.5,41,6.2,2,0.3,7,1.1,,,
Ravenswood-Ridge Elementary Network,609799,2270,Bell,990,587,59.3,29,2.9,0,0,6,0.6,235,23.7,76,7.7,54,5.5,2,0.2,1,0.1,,,
Fullerton Elementary Network,609922,3390,Belmont-Cragin,634,21,3.3,11,1.7,0,0,6,0.9,574,90.5,3,0.5,2,0.3,1,0.2,16,2.5,,,
Rock Island Elementary Network,609800,2280,Bennett,502,1,0.2,489,97.4,0,0,1,0.2,5,1,6,1.2,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,610365,8020,Bethune,363,0,0,363,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Skyway Elementary Network,610350,7860,Black Magnet,473,1,0.2,462,97.7,0,0,0,0,4,0.8,6,1.3,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609803,2300,Blaine,915,491,53.7,40,4.4,2,0.2,2,0.2,252,27.5,59,6.4,34,3.7,5,0.5,30,3.3,,,
Midway Elementary Network,610087,4990,Blair,137,27,19.7,29,21.2,0,0,1,0.7,75,54.7,0,0,4,2.9,1,0.7,0,0,,,
Southwest Side High School Network,609698,1230,Bogan Tech HS,1658,41,2.5,905,54.6,0,0,10,0.6,688,41.5,5,0.3,6,0.4,2,0.1,1,0.1,,,
Englewood-Gresham Elementary Network,610238,6550,Bond,343,1,0.3,333,97.1,0,0,0,0,9,2.6,0,0,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,610161,5750,Bontemps,345,0,0,344,99.7,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609804,2320,Boone,748,180,24.1,87,11.6,2,0.3,4,0.5,332,44.4,9,1.2,133,17.8,0,0,1,0.1,,,
Skyway Elementary Network,609815,2430,Bouchet,778,1,0.1,768,98.7,0,0,0,0,2,0.3,2,0.3,0,0,0,0,5,0.6,,,
Skyway Elementary Network,609806,2340,Bradwell,771,0,0,764,99.1,0,0,1,0.1,4,0.5,0,0,1,0.1,0,0,1,0.1,,,
Ravenswood-Ridge Elementary Network,610242,6600,Brennemann,360,15,4.2,273,75.8,0,0,3,0.8,54,15,6,1.7,8,2.2,1,0.3,0,0,,,
Fullerton Elementary Network,609809,2370,Brentano,453,13,2.9,21,4.6,0,0,6,1.3,394,87,3,0.7,2,0.4,0,0,14,3.1,,,
O'Hare Elementary Network,609810,2380,Bridge,994,521,52.4,9,0.9,0,0,1,0.1,418,42.1,20,2,24,2.4,0,0,1,0.1,,,
Lake Calumet Elementary Network,609811,2390,Bright,359,2,0.6,225,62.7,0,0,1,0.3,128,35.7,2,0.6,0,0,1,0.3,0,0,,,
Pershing Elementary Network,610317,7470,Brighton Park,687,12,1.7,7,1,0,0,4,0.6,658,95.8,3,0.4,3,0.4,0,0,0,0,,,
Burnham Park Elementary Network,400019,3990,Bronzeville LH Chrt,455,1,0.2,444,97.6,0,0,0,0,8,1.8,0,0,1,0.2,0,0,1,0.2,,,
South Side High School Network,610381,7270,Bronzeville Mil HS,552,0,0,544,98.6,0,0,0,0,4,0.7,0,0,3,0.5,1,0.2,0,0,,,
Far South Side High School Network,609726,1500,Brooks CPHS,781,12,1.5,672,86,0,0,5,0.6,88,11.3,4,0.5,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,610091,5040,Brown R.,283,0,0,278,98.2,0,0,0,0,5,1.8,0,0,0,0,0,0,0,0,,,
Fulton Elementary Network,609812,2400,Brown W.,214,3,1.4,201,93.9,0,0,0,0,8,3.7,0,0,0,0,1,0.5,1,0.5,,,
Skyway Elementary Network,609813,2410,Brownell,310,0,0,309,99.7,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,609830,2550,Brunson,650,3,0.5,612,94.2,0,0,2,0.3,25,3.8,2,0.3,0,0,0,0,6,0.9,,,
