Network,School ID,CPS Unit,School,Total,White No,White Pct,African American No,African American Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Native American/Alaskan No,Native American/Alaskan Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct,,,
Pershing Elementary Network,609885,3030,Dewey,357,0,0,338,94.7,0,0,0,0,10,2.8,3,0.8,0,0,0,0,6,1.7,,,
O'Hare Elementary Network,609874,2950,Dirksen,777,542,69.8,32,4.1,0,0,3,0.4,107,13.8,7,0.9,50,6.4,1,0.1,35,4.5,,,
O'Hare Elementary Network,610515,8045,Disney II Magnet,363,162,44.6,31,8.5,0,0,2,0.6,139,38.3,11,3,17,4.7,1,0.3,0,0,,,
Ravenswood-Ridge Elementary Network,610363,8000,Disney Magnet,1651,385,23.3,608,36.8,0,0,11,0.7,383,23.2,72,4.4,191,11.6,1,0.1,0,0,,,
Skyway Elementary Network,609887,3040,Dixon,650,0,0,643,98.9,0,0,1,0.2,2,0.3,3,0.5,1,0.2,0,0,0,0,,,
Garfield-Humboldt Elementary Network,609888,3050,Dodge,434,0,0,430,99.1,0,0,0,0,4,0.9,0,0,0,0,0,0,0,0,,,
Burnham Park Elementary Network,609891,3070,Doolittle,304,0,0,299,98.4,0,0,0,0,4,1.3,1,0.3,0,0,0,0,0,0,,,
Midway Elementary Network,609893,3080,Dore,586,217,37,15,2.6,0,0,1,0.2,344,58.7,3,0.5,4,0.7,2,0.3,0,0,,,
West Side High School Network,610245,6630,Douglass HS,354,0,0,351,99.2,0,0,0,0,1,0.3,2,0.6,0,0,0,0,0,0,,,
Burnham Park Elementary Network,609894,3100,Drake,250,3,1.2,236,94.4,0,0,0,0,4,1.6,0,0,6,2.4,0,0,1,0.4,,,
Fullerton Elementary Network,609896,3120,Drummond Magnet,352,114,32.4,17,4.8,0,0,0,0,181,51.4,22,6.3,18,5.1,0,0,0,0,,,
Lake Calumet Elementary Network,610364,8010,DuBois,184,2,1.1,166,90.2,0,0,0,0,8,4.3,7,3.8,0,0,1,0.5,0,0,,,
Skyway Elementary Network,610263,6860,Dulles,537,0,0,531,98.9,0,0,0,0,3,0.6,1,0.2,0,0,1,0.2,1,0.2,,,
Burnham Park Elementary Network,610266,6890,Dumas,381,0,0,377,99,0,0,0,0,2,0.5,1,0.3,0,0,1,0.3,0,0,,,
South Side High School Network,609676,1030,Dunbar Voc HS,1462,1,0.1,1430,97.8,0,0,1,0.1,16,1.1,10,0.7,2,0.1,1,0.1,1,0.1,,,
Rock Island Elementary Network,610188,6050,Dunne,310,0,0,308,99.4,0,0,0,0,2,0.6,0,0,0,0,0,0,0,0,,,
Midway Elementary Network,610352,7870,Durkin Park,542,32,5.9,54,10,0,0,6,1.1,423,78,5,0.9,1,0.2,0,0,21,3.9,,,
Austin-North Lawndale Elementary Network,610254,6760,Dvorak,552,0,0,545,98.7,0,0,0,0,6,1.1,1,0.2,0,0,0,0,0,0,,,
South Side High School Network,609736,1600,Dyett HS,318,0,0,309,97.2,0,0,1,0.3,3,0.9,2,0.6,0,0,0,0,3,0.9,,,
South Side High School Network,400094,8058,EPIC Acad HS,364,3,0.8,219,60.2,0,0,2,0.5,129,35.4,8,2.2,1,0.3,0,0,2,0.5,,,
Skyway Elementary Network,610316,7450,Earhart,264,0,0,231,87.5,0,0,0,0,2,0.8,4,1.5,0,0,0,0,27,10.2,,,
Englewood-Gresham Elementary Network,609897,3130,Earle,330,0,0,325,98.5,0,0,0,0,3,0.9,0,0,0,0,2,0.6,0,0,,,
Midway Elementary Network,609898,3140,Eberhart,1762,39,2.2,107,6.1,0,0,4,0.2,1605,91.1,5,0.3,0,0,0,0,2,0.1,,,
O'Hare Elementary Network,609899,3150,Ebinger,644,457,71,7,1.1,0,0,0,0,134,20.8,19,3,25,3.9,2,0.3,0,0,,,
O'Hare Elementary Network,609901,3170,Edgebrook,463,313,67.6,10,2.2,0,0,2,0.4,71,15.3,16,3.5,45,9.7,6,1.3,0,0,,,
O'Hare Elementary Network,609794,2220,Edison,269,134,49.8,12,4.5,0,0,0,0,53,19.7,22,8.2,46,17.1,2,0.7,0,0,,,
O'Hare Elementary Network,610523,2085,Edison Park,428,314,73.4,2,0.5,1,0.2,1,0.2,88,20.6,2,0.5,19,4.4,1,0.2,0,0,,,
Midway Elementary Network,609903,3200,Edwards,1486,55,3.7,11,0.7,0,0,11,0.7,1398,94.1,4,0.3,3,0.2,4,0.3,0,0,,,
Austin-North Lawndale Elementary Network,609904,3220,Ellington,375,3,0.8,356,94.9,0,0,1,0.3,15,4,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,609906,3230,Emmet,459,0,0,454,98.9,0,0,0,0,2,0.4,3,0.7,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,609907,3240,Ericson Magnet,516,2,0.4,509,98.6,0,0,0,0,2,0.4,0,0,1,0.2,0,0,2,0.4,,,
Fulton Elementary Network,400039,5780,Erie Charter,351,10,2.8,69,19.7,0,0,0,0,266,75.8,5,1.4,1,0.3,0,0,0,0,,,
Rock Island Elementary Network,609908,3250,Esmond,340,0,0,332,97.6,0,0,0,0,7,2.1,0,0,1,0.3,0,0,0,0,,,
Pershing Elementary Network,609909,3260,Everett,319,11,3.4,2,0.6,0,0,0,0,296,92.8,6,1.9,4,1.3,0,0,0,0,,,
Pershing Elementary Network,610319,7490,Evergreen Middle,389,17,4.4,8,2.1,0,0,1,0.3,358,92,1,0.3,2,0.5,0,0,2,0.5,,,
Rock Island Elementary Network,610362,7990,Evers,366,0,0,364,99.5,0,0,0,0,0,0,2,0.5,0,0,0,0,0,0,,,
Midway Elementary Network,610057,4660,Fairfield,598,3,0.5,260,43.5,0,0,6,1,320,53.5,6,1,2,0.3,1,0.2,0,0,,,
Fullerton Elementary Network,609910,3270,Falconer,1508,70,4.6,27,1.8,0,0,5,0.3,1378,91.4,8,0.5,17,1.1,1,0.1,2,0.1,,,
Garfield-Humboldt Elementary Network,610055,4640,Faraday,191,0,0,191,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
O'Hare Elementary Network,609912,3280,Farnsworth,574,242,42.2,11,1.9,1,0.2,2,0.3,246,42.9,9,1.6,60,10.5,1,0.2,2,0.3,,,
West Side High School Network,609704,1300,Farragut HS,1453,6,0.4,189,13,0,0,11,0.8,1244,85.6,3,0.2,0,0,0,0,0,0,,,
Far South Side High School Network,609705,1310,Fenger  HS,688,0,0,679,98.7,0,0,1,0.1,7,1,1,0.1,0,0,0,0,0,0,,,
Far South Side High School Network,609706,7970,Fenger AA HS,85,0,0,84,98.8,0,0,0,0,0,0,1,1.2,0,0,0,0,0,0,,,
Skyway Elementary Network,609916,3320,Fermi,237,0,0,233,98.3,0,0,0,0,1,0.4,0,0,1,0.4,0,0,2,0.8,,,
Rock Island Elementary Network,609917,3330,Fernwood,344,0,0,343,99.7,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609918,3350,Field,374,5,1.3,131,35,0,0,1,0.3,204,54.5,7,1.9,25,6.7,0,0,1,0.3,,,
Pilsen-Little Village Elementary Network,609967,3760,Finkl,583,6,1,48,8.2,0,0,0,0,524,89.9,2,0.3,1,0.2,0,0,2,0.3,,,
Burnham Park Elementary Network,609919,3360,Fiske,254,1,0.4,251,98.8,0,0,1,0.4,1,0.4,0,0,0,0,0,0,0,0,,,
West Side High School Network,400042,1165,Ford Power House Chrt HS,453,0,0,445,98.2,0,0,0,0,4,0.9,1,0.2,0,0,0,0,3,0.7,,,
North-Northwest Side High School Network,609708,1330,Foreman HS,1715,69,4,288,16.8,0,0,6,0.3,1329,77.5,12,0.7,7,0.4,3,0.2,1,0.1,,,
Rock Island Elementary Network,609924,3400,Fort Dearborn,477,0,0,472,99,0,0,0,0,0,0,4,0.8,1,0.2,0,0,0,0,,,
Englewood-Gresham Elementary Network,609927,3430,Foster Park,421,0,0,417,99,0,0,0,0,3,0.7,1,0.2,0,0,0,0,0,0,,,
Fullerton Elementary Network,609926,3420,Franklin Magnet,363,118,32.5,127,35,0,0,0,0,76,20.9,22,6.1,20,5.5,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610503,5850,Frazier International,220,0,0,215,97.7,0,0,0,0,4,1.8,0,0,1,0.5,0,0,0,0,,,
Austin-North Lawndale Elementary Network,400040,6650,Frazier Prep Acad,413,1,0.2,379,91.8,0,0,0,0,0,0,0,0,0,0,0,0,33,8,,,
Burnham Park Elementary Network,609928,3440,Fuller,239,0,0,238,99.6,0,0,0,0,0,0,1,0.4,0,0,0,0,0,0,,,
Pershing Elementary Network,609929,3450,Fulton,466,3,0.6,339,72.7,0,0,2,0.4,120,25.8,1,0.2,0,0,0,0,1,0.2,,,
Fullerton Elementary Network,609930,3460,Funston,619,4,0.6,93,15,0,0,3,0.5,515,83.2,3,0.5,0,0,0,0,1,0.2,,,
Southwest Side High School Network,609709,1340,Gage Park HS,1052,5,0.5,479,45.5,0,0,3,0.3,561,53.3,4,0.4,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,400041,5840,Galapagos Charter,351,0,0,342,97.4,0,0,0,0,6,1.7,0,0,0,0,0,0,3,0.9,,,
Ravenswood-Ridge Elementary Network,609933,3480,Gale,515,10,1.9,323,62.7,0,0,1,0.2,150,29.1,8,1.6,22,4.3,1,0.2,0,0,,,
Fulton Elementary Network,610009,4160,Galileo Magnet,608,49,8.1,134,22,0,0,1,0.2,373,61.3,16,2.6,31,5.1,3,0.5,1,0.2,,,
Lake Calumet Elementary Network,609935,3490,Gallistel Magnet,1413,15,1.1,25,1.8,0,0,13,0.9,1360,96.2,0,0,0,0,0,0,0,0,,,
Garfield-Humboldt Elementary Network,400095,8064,Garfield Park Prep Acad,204,1,0.5,194,95.1,0,0,0,0,6,2.9,3,1.5,0,0,0,0,0,0,,,
Rock Island Elementary Network,610128,5420,Garvey M.,354,0,0,349,98.6,0,0,0,0,4,1.1,1,0.3,0,0,0,0,0,0,,,
O'Hare Elementary Network,609937,3510,Garvy J.,715,433,60.6,5,0.7,0,0,2,0.3,191,26.7,18,2.5,61,8.5,1,0.1,4,0.6,,,
Pilsen-Little Village Elementary Network,609938,3520,Gary,1204,4,0.3,0,0,0,0,10,0.8,1188,98.7,0,0,2,0.2,0,0,0,0,,,
Rock Island Elementary Network,609939,3530,Gillespie,608,0,0,588,96.7,0,0,0,0,18,3,2,0.3,0,0,0,0,0,0,,,
Midway Elementary Network,400009,2025,Globel Citizenship,247,24,9.7,15,6.1,0,0,1,0.4,203,82.2,3,1.2,0,0,0,0,1,0.4,,,
Fullerton Elementary Network,609942,3560,Goethe,785,78,9.9,24,3.1,0,0,14,1.8,649,82.7,16,2,1,0.1,0,0,3,0.4,,,
Garfield-Humboldt Elementary Network,610348,7840,Goldblatt,268,0,0,262,97.8,0,0,0,0,5,1.9,1,0.4,0,0,0,0,0,0,,,
Lake Calumet Elementary Network,609943,3570,Gompers,286,0,0,285,99.7,0,0,0,0,1,0.3,0,0,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,609913,3290,Goodlow Magnet,416,0,0,408,98.1,0,0,0,0,5,1.2,3,0.7,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609945,3590,Goudy,799,65,8.1,170,21.3,2,0.3,6,0.8,253,31.7,6,0.8,295,36.9,1,0.1,1,0.1,,,
Pershing Elementary Network,609947,3600,Graham A.,478,179,37.4,110,23,0,0,2,0.4,184,38.5,1,0.2,2,0.4,0,0,0,0,,,
South Side High School Network,609769,1950,Graham R. Trng CTR,139,4,2.9,75,54,0,0,0,0,56,40.3,2,1.4,2,1.4,0,0,0,0,,,
O'Hare Elementary Network,609949,3620,Gray,1331,155,11.6,30,2.3,0,0,8,0.6,1088,81.7,13,1,28,2.1,0,0,9,0.7,,,
Ravenswood-Ridge Elementary Network,609850,2730,Greeley,607,67,11,91,15,0,0,4,0.7,429,70.7,7,1.2,9,1.5,0,0,0,0,,,
Rock Island Elementary Network,610032,4410,Green W.,254,0,0,247,97.2,0,0,0,0,4,1.6,3,1.2,0,0,0,0,0,0,,,
Pershing Elementary Network,609952,3650,Greene N.,630,33,5.2,5,0.8,0,0,1,0.2,562,89.2,4,0.6,16,2.5,0,0,9,1.4,,,
Garfield-Humboldt Elementary Network,609954,3660,Gregory,321,0,0,319,99.4,0,0,0,0,1,0.3,1,0.3,0,0,0,0,0,0,,,
Englewood-Gresham Elementary Network,609955,3670,Gresham,358,0,0,355,99.2,0,0,0,0,2,0.6,1,0.3,0,0,0,0,0,0,,,
Midway Elementary Network,609956,3680,Grimes,486,78,16,5,1,0,0,1,0.2,389,80,3,0.6,4,0.8,0,0,6,1.2,,,
Lake Calumet Elementary Network,609944,3580,Grissom,328,78,23.8,18,5.5,0,0,2,0.6,227,69.2,0,0,0,0,0,0,3,0.9,,,
Englewood-Gresham Elementary Network,610283,7050,Guggenheim,291,0,0,282,96.9,0,0,0,0,7,2.4,0,0,0,0,0,0,2,0.7,,,
Pershing Elementary Network,609958,3690,Gunsaulus Magnet,866,33,3.8,72,8.3,0,0,7,0.8,701,80.9,6,0.7,32,3.7,1,0.1,14,1.6,,,
Pershing Elementary Network,609959,3700,Haines,662,0,0,53,8,7,1.1,0,0,3,0.5,3,0.5,589,89,5,0.8,2,0.3,,,
Midway Elementary Network,609960,3710,Hale,864,259,30,3,0.3,0,0,9,1,574,66.4,6,0.7,10,1.2,1,0.1,2,0.2,,,
Rock Island Elementary Network,609808,2360,Haley,524,1,0.2,522,99.6,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609963,3730,Hamilton,305,119,39,50,16.4,0,0,1,0.3,106,34.8,14,4.6,11,3.6,4,1.3,0,0,,,
Pershing Elementary Network,609964,3740,Hamline,676,6,0.9,58,8.6,0,0,0,0,606,89.6,4,0.6,2,0.3,0,0,0,0,,,
Pilsen-Little Village Elementary Network,609966,3750,Hammond,445,2,0.4,40,9,0,0,0,0,401,90.1,2,0.4,0,0,0,0,0,0,,,
Midway Elementary Network,609807,2350,Hampton,657,5,0.8,326,49.6,0,0,7,1.1,309,47,5,0.8,1,0.2,1,0.2,3,0.5,,,
Southwest Side High School Network,609694,1200,Hancock HS,966,34,3.5,14,1.4,0,0,4,0.4,902,93.4,3,0.3,8,0.8,1,0.1,0,0,,,
Fullerton Elementary Network,610068,4770,Hanson Park,1489,36,2.4,53,3.6,0,0,5,0.3,1390,93.4,4,0.3,0,0,1,0.1,0,0,,,
Far South Side High School Network,609710,1350,Harlan HS,1243,1,0.1,1224,98.5,0,0,0,0,8,0.6,6,0.5,0,0,1,0.1,3,0.2,,,
Southwest Side High School Network,609711,1360,Harper HS,622,0,0,615,98.9,0,0,2,0.3,3,0.5,1,0.2,0,0,0,0,1,0.2,,,
Burnham Park Elementary Network,609969,3780,Harte,334,13,3.9,278,83.2,0,0,0,0,17,5.1,3,0.9,4,1.2,0,0,19,5.7,,,
Skyway Elementary Network,609971,3800,Harvard,475,1,0.2,447,94.1,0,0,0,0,3,0.6,1,0.2,0,0,2,0.4,21,4.4,,,
O'Hare Elementary Network,609972,3810,Haugan,1284,64,5,41,3.2,0,0,6,0.5,1091,85,12,0.9,62,4.8,5,0.4,3,0.2,,,
Ravenswood-Ridge Elementary Network,609974,3830,Hawthorne Magnet,569,268,47.1,67,11.8,0,0,14,2.5,131,23,47,8.3,31,5.4,11,1.9,0,0,,,
Austin-North Lawndale Elementary Network,609975,3840,Hay,552,4,0.7,513,92.9,0,0,0,0,27,4.9,6,1.1,0,0,0,0,2,0.4,,,
Ravenswood-Ridge Elementary Network,609976,3850,Hayt,993,111,11.2,177,17.8,0,0,10,1,487,49,13,1.3,185,18.6,10,1,0,0,,,
Pershing Elementary Network,609979,3880,Healy,1376,154,11.2,10,0.7,0,0,0,0,391,28.4,18,1.3,768,55.8,35,2.5,0,0,,,
Midway Elementary Network,609981,3890,Hearst,362,3,0.8,174,48.1,0,0,1,0.3,181,50,2,0.6,0,0,1,0.3,0,0,,,
Pershing Elementary Network,609983,3900,Hedges,841,13,1.5,28,3.3,0,0,7,0.8,786,93.5,2,0.2,0,0,0,0,5,0.6,,,
Garfield-Humboldt Elementary Network,609985,3910,Hefferan,259,0,0,223,86.1,0,0,0,0,1,0.4,0,0,1,0.4,0,0,34,13.1,,,
Englewood-Gresham Elementary Network,609986,3920,Henderson,406,0,0,402,99,0,0,0,0,3,0.7,1,0.2,0,0,0,0,0,0,,,
Pershing Elementary Network,609987,3930,Hendricks,305,2,0.7,253,83,0,0,0,0,10,3.3,4,1.3,0,0,0,0,36,11.8,,,
O'Hare Elementary Network,609988,3940,Henry,648,16,2.5,24,3.7,0,0,8,1.2,568,87.7,2,0.3,24,3.7,3,0.5,3,0.5,,,
Austin-North Lawndale Elementary Network,610240,6570,Henson,271,0,0,267,98.5,0,0,1,0.4,2,0.7,1,0.4,0,0,0,0,0,0,,,
Fulton Elementary Network,609989,3950,Herbert,397,0,0,373,94,0,0,0,0,15,3.8,4,1,2,0.5,0,0,3,0.8,,,
Midway Elementary Network,610532,8021,Hernandez,970,11,1.1,20,2.1,0,0,2,0.2,936,96.5,1,0.1,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,609991,3970,Herzl,512,2,0.4,497,97.1,0,0,0,0,8,1.6,3,0.6,2,0.4,0,0,0,0,,,
O'Hare Elementary Network,609994,4000,Hibbard,1235,69,5.6,72,5.8,0,0,7,0.6,948,76.8,22,1.8,116,9.4,1,0.1,0,0,,,
Lake Calumet Elementary Network,610295,7210,Higgins,368,0,0,363,98.6,0,0,1,0.3,2,0.5,1,0.3,0,0,1,0.3,0,0,,,
Englewood-Gresham Elementary Network,610299,7250,Hinton,320,0,0,307,95.9,0,0,0,0,13,4.1,0,0,0,0,0,0,0,0,,,
South Side High School Network,609712,1380,Hirsch HS,455,0,0,454,99.8,0,0,0,0,1,0.2,0,0,0,0,0,0,0,0,,,
O'Hare Elementary Network,609995,4010,Hitch,534,237,44.4,5,0.9,0,0,3,0.6,206,38.6,13,2.4,70,13.1,0,0,0,0,,,
Pershing Elementary Network,609996,4020,Holden,593,61,10.3,40,6.7,0,0,3,0.5,403,68,12,2,71,12,0,0,3,0.5,,,
Englewood-Gresham Elementary Network,609997,4030,Holmes,333,0,0,330,99.1,0,0,0,0,2,0.6,1,0.3,0,0,0,0,0,0,,,
Southwest Side High School Network,609768,1940,Hope CPHS,560,0,0,551,98.4,0,0,0,0,8,1.4,0,0,0,0,1,0.2,0,0,,,
Fulton Elementary Network,400043,8067,Hope Inst Learning Acad,410,15,3.7,337,82.2,0,0,2,0.5,41,10,5,1.2,4,1,0,0,6,1.5,,,
Austin-North Lawndale Elementary Network,610000,4060,Howe,574,1,0.2,561,97.7,0,0,0,0,9,1.6,1,0.2,1,0.2,0,0,1,0.2,,,
Skyway Elementary Network,610002,4080,Hoyne,285,0,0,269,94.4,0,0,0,0,12,4.2,4,1.4,0,0,0,0,0,0,,,
Southwest Side High School Network,609741,1670,Hubbard HS,1672,59,3.5,132,7.9,0,0,6,0.4,1406,84.1,5,0.3,64,3.8,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610005,4110,Hughes C.,317,0,0,310,97.8,0,0,0,0,5,1.6,1,0.3,1,0.3,0,0,0,0,,,
Rock Island Elementary Network,610368,8060,Hughes L.,422,0,0,410,97.2,0,0,0,0,8,1.9,3,0.7,0,0,0,0,1,0.2,,,
Midway Elementary Network,610006,4120,Hurley,825,8,1,19,2.3,0,0,3,0.4,755,91.5,0,0,0,0,0,0,40,4.8,,,
South Side High School Network,609713,1390,Hyde Park HS,1513,1,0.1,1498,99,0,0,0,0,6,0.4,3,0.2,0,0,1,0.1,4,0.3,,,
West Side High School Network,610384,7680,Infinity HS,388,2,0.5,19,4.9,0,0,0,0,367,94.6,0,0,0,0,0,0,0,0,,,
South Side High School Network,400104,8026,Instituto Health Acad HS,336,11,3.3,13,3.9,0,0,1,0.3,310,92.3,0,0,1,0.3,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610078,4890,Inter-American Magnet,691,71,10.3,9,1.3,0,0,1,0.1,592,85.7,9,1.3,8,1.2,0,0,1,0.1,,,
Fulton Elementary Network,610121,5350,Irving,481,12,2.5,301,62.6,0,0,1,0.2,148,30.8,11,2.3,6,1.2,0,0,2,0.4,,,
Fulton Elementary Network,610060,4690,Jackson A. Magnet,555,134,24.1,128,23.1,2,0.4,2,0.4,136,24.5,20,3.6,132,23.8,0,0,1,0.2,,,
Englewood-Gresham Elementary Network,610369,8090,Jackson M.,322,0,0,315,97.8,0,0,0,0,5,1.6,2,0.6,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610010,4170,Jahn,489,37,7.6,70,14.3,0,0,4,0.8,370,75.7,5,1,2,0.4,0,0,1,0.2,,,
Ravenswood-Ridge Elementary Network,610011,4180,Jamieson,805,240,29.8,46,5.7,0,0,6,0.7,264,32.8,28,3.5,217,27,0,0,4,0.5,,,
West Side High School Network,609783,2120,Jefferson N.,272,8,2.9,223,82,0,0,1,0.4,40,14.7,0,0,0,0,0,0,0,0,,,
Fullerton Elementary Network,610012,4200,Jenner,313,1,0.3,306,97.8,0,0,0,0,2,0.6,0,0,3,1,1,0.3,0,0,,,
Garfield-Humboldt Elementary Network,610271,6920,Jensen Magnet,364,0,0,359,98.6,0,0,0,0,1,0.3,0,0,0,0,0,0,4,1.1,,,
Austin-North Lawndale Elementary Network,610274,6940,Johnson,362,0,0,360,99.4,0,0,0,0,2,0.6,0,0,0,0,0,0,0,0,,,
South Side High School Network,609678,1060,Jones CPHS,871,236,27.1,216,24.8,2,0.2,6,0.7,278,31.9,28,3.2,92,10.6,2,0.2,11,1.3,,,
Englewood-Gresham Elementary Network,609805,2330,Joplin,536,0,0,526,98.1,0,0,0,0,6,1.1,3,0.6,1,0.2,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,609865,2870,Jordan,746,7,0.9,274,36.7,0,0,4,0.5,400,53.6,17,2.3,7,0.9,1,0.1,36,4.8,,,
West Side High School Network,609764,1890,Juarez HS,1683,18,1.1,39,2.3,0,0,4,0.2,1592,94.6,3,0.2,23,1.4,0,0,4,0.2,,,
Far South Side High School Network,609762,1870,Julian HS,1224,0,0,1216,99.3,0,0,0,0,5,0.4,3,0.2,0,0,0,0,0,0,,,
Pilsen-Little Village Elementary Network,610015,4230,Jungman,284,2,0.7,8,2.8,0,0,2,0.7,270,95.1,2,0.7,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,400044,7810,KIPP Ascend Charter,545,1,0.2,500,91.7,0,0,2,0.4,32,5.9,3,0.6,0,0,0,0,7,1.3,,,
Pilsen-Little Village Elementary Network,609920,3370,Kanoon Magnet,706,1,0.1,4,0.6,0,0,0,0,700,99.2,1,0.1,0,0,0,0,0,0,,,
Rock Island Elementary Network,610084,4960,Keller,246,91,37,101,41.1,1,0.4,1,0.4,36,14.6,10,4.1,5,2,1,0.4,0,0,,,
Garfield-Humboldt Elementary Network,609925,3410,Kellman,293,0,0,283,96.6,0,0,0,0,6,2,3,1,0,0,1,0.3,0,0,,,
Rock Island Elementary Network,610016,4240,Kellogg,276,37,13.4,207,75,0,0,1,0.4,13,4.7,17,6.2,0,0,1,0.4,0,0,,,
Southwest Side High School Network,609715,1400,Kelly HS,2893,62,2.1,59,2,0,0,13,0.4,2454,84.8,6,0.2,298,10.3,1,0,0,0,,,
North-Northwest Side High School Network,609716,1410,Kelvyn Park HS,1250,16,1.3,34,2.7,0,0,1,0.1,1124,89.9,71,5.7,1,0.1,0,0,3,0.2,,,
Southwest Side High School Network,609718,1420,Kennedy HS,1588,427,26.9,106,6.7,0,0,13,0.8,1025,64.5,6,0.4,9,0.6,2,0.1,0,0,,,
South Side High School Network,609746,1710,Kenwood HS,1851,29,1.6,1548,83.6,2,0.1,5,0.3,86,4.6,88,4.8,56,3,5,0.3,32,1.7,,,
Englewood-Gresham Elementary Network,610019,4270,Kershaw Magnet,263,0,0,249,94.7,0,0,0,0,12,4.6,2,0.8,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610020,4280,Key,297,2,0.7,286,96.3,0,0,1,0.3,6,2,2,0.7,0,0,0,0,0,0,,,
Ravenswood-Ridge Elementary Network,610022,4300,Kilmer,884,41,4.6,210,23.8,0,0,8,0.9,534,60.4,10,1.1,78,8.8,0,0,3,0.3,,,
South Side High School Network,609751,1760,King CPHS,919,7,0.8,852,92.7,0,0,0,0,41,4.5,6,0.7,10,1.1,0,0,3,0.3,,,
Fulton Elementary Network,610023,4310,King EL,263,5,1.9,197,74.9,0,0,0,0,58,22.1,0,0,0,0,0,0,3,1.1,,,
Midway Elementary Network,610026,4330,Kinzie,726,226,31.1,23,3.2,0,0,6,0.8,464,63.9,2,0.3,1,0.1,0,0,4,0.6,,,
Rock Island Elementary Network,610027,4350,Kipling,445,0,0,435,97.8,0,0,0,0,2,0.4,3,0.7,1,0.2,0,0,4,0.9,,,
Rock Island Elementary Network,610028,4360,Kohn,427,0,0,425,99.5,0,0,0,0,1,0.2,1,0.2,0,0,0,0,0,0,,,
Burnham Park Elementary Network,610030,4390,Kozminski,403,2,0.5,390,96.8,0,0,0,0,7,1.7,3,0.7,0,0,0,0,1,0.2,,,
Austin-North Lawndale Elementary Network,400046,6770,LEARN Chrt -  Butler,599,0,0,550,91.8,0,0,0,0,8,1.3,2,0.3,0,0,0,0,39,6.5,,,
Fulton Elementary Network,400048,6775,LEARN Chrt - EXCEL,342,0,0,333,97.4,0,0,1,0.3,7,2,0,0,0,0,0,0,1,0.3,,,
Skyway Elementary Network,400111,8677,LEARN Chrt - Hunter Perkins,236,0,0,204,86.4,0,0,0,0,0,0,1,0.4,0,0,0,0,31,13.1,,,
Garfield-Humboldt Elementary Network,400047,8072,LEARN Chrt - North Lawndale,447,0,0,434,97.1,0,0,0,0,10,2.2,0,0,0,0,0,0,3,0.7,,,
Skyway Elementary Network,400107,8029,LEARN Chrt - South Shore,280,1,0.4,231,82.5,0,0,1,0.4,35,12.5,0,0,0,0,0,0,12,4.3,,,
Fulton Elementary Network,610520,8040,LaSalle II Magnet,609,151,24.8,130,21.3,1,0.2,3,0.5,294,48.3,12,2,12,2,1,0.2,5,0.8,,,
Fullerton Elementary Network,610033,4420,LaSalle Magnet,576,192,33.3,143,24.8,1,0.2,3,0.5,130,22.6,55,9.5,52,9,0,0,0,0,,,
Fulton Elementary Network,610031,4400,Lafayette,471,12,2.5,160,34,0,0,0,0,290,61.6,5,1.1,2,0.4,1,0.2,1,0.2,,,
North-Northwest Side High School Network,609719,1430,Lake View HS,1502,200,13.3,166,11.1,2,0.1,18,1.2,925,61.6,20,1.3,167,11.1,3,0.2,1,0.1,,,
North-Northwest Side High School Network,609720,1440,Lane Tech HS,4366,1282,29.4,378,8.7,2,0,23,0.5,2057,47.1,119,2.7,456,10.4,6,0.1,43,1,,,
Pershing Elementary Network,609993,3980,Lara,555,2,0.4,15,2.7,0,0,0,0,534,96.2,0,0,2,0.4,0,0,2,0.4,,,
Austin-North Lawndale Elementary Network,610253,6750,Lathrop,83,0,0,82,98.8,0,0,0,0,1,1.2,0,0,0,0,0,0,0,0,,,
Rock Island Elementary Network,610208,6260,Lavizzo,392,0,0,388,99,0,0,0,0,4,1,0,0,0,0,0,0,0,0,,,
Austin-North Lawndale Elementary Network,610034,4430,Lawndale,507,0,0,501,98.8,0,0,0,0,4,0.8,1,0.2,0,0,0,0,1,0.2,,,
