Area,School ID,Unit,School,Total,White No,White Pct,African American No,African American Pct,Native American/Alaskan No,Native American/Alaskan Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct
10,610319,7490,Evergreen Middle,381,20,5.2,5,1.3,2,0.5,0,0.0,347,91.1,1,0.3,6,1.6,0,0.0,0,0.0
10,609967,3760,Finkl,551,5,0.9,26,4.7,0,0.0,0,0.0,517,93.8,2,0.4,1,0.2,0,0.0,0,0.0
10,609938,3520,Gary,"1,180",3,0.3,0,0.0,8,0.7,0,0.0,"1,168",99.0,0,0.0,1,0.1,0,0.0,0,0.0
10,609958,3690,Gunsaulus Magnet,903,42,4.7,82,9.1,8,0.9,0,0.0,722,80.0,8,0.9,40,4.4,1,0.1,0,0.0
10,609983,3900,Hedges,878,13,1.5,38,4.3,11,1.3,0,0.0,772,87.9,3,0.3,0,0.0,0,0.0,41,4.7
10,609920,3370,Kanoon Magnet,707,0,0.0,3,0.4,0,0.0,0,0.0,704,99.6,0,0.0,0,0.0,0,0.0,0,0.0
10,609993,3980,Lara,559,1,0.2,16,2.9,0,0.0,0,0.0,540,96.6,0,0.0,2,0.4,0,0.0,0,0.0
10,610253,6750,Lathrop,116,0,0.0,115,99.1,0,0.0,0,0.0,1,0.9,0,0.0,0,0.0,0,0.0,0,0.0
10,609834,2590,Little Village,795,3,0.4,0,0.0,1,0.1,0,0.0,791,99.5,0,0.0,0,0.0,0,0.0,0,0.0
10,610215,6310,Madero Middle,310,1,0.3,1,0.3,0,0.0,0,0.0,308,99.4,0,0.0,0,0.0,0,0.0,0,0.0
10,610056,4650,Mason,519,0,0.0,464,89.4,0,0.0,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,53,10.2
10,610535,8025,Mason HS,40,0,0.0,39,97.5,0,0.0,0,0.0,1,2.5,0,0.0,0,0.0,0,0.0,0,0.0
10,610063,4720,McCormick,895,3,0.3,0,0.0,3,0.3,0,0.0,888,99.2,1,0.1,0,0.0,0,0.0,0,0.0
10,610353,7880,McKinley Park,693,5,0.7,5,0.7,3,0.4,2,0.3,647,93.4,0,0.0,5,0.7,0,0.0,26,3.8
10,609950,3630,Ortiz De Dominguez,777,7,0.9,1,0.1,5,0.6,0,0.0,763,98.2,0,0.0,1,0.1,0,0.0,0,0.0
10,610273,6930,Paderewski,134,0,0.0,104,77.6,0,0.0,0,0.0,30,22.4,0,0.0,0,0.0,0,0.0,0,0.0
10,610123,5370,Penn,418,0,0.0,340,81.3,0,0.0,0,0.0,73,17.5,1,0.2,1,0.2,0,0.0,3,0.7
10,610134,5480,Pope,173,0,0.0,155,89.6,3,1.7,0,0.0,15,8.7,0,0.0,0,0.0,0,0.0,0,0.0
10,610125,5390,Ruiz,927,14,1.5,8,0.9,7,0.8,0,0.0,894,96.4,4,0.4,0,0.0,0,0.0,0,0.0
10,610017,4250,Saucedo Magnet,"1,332",10,0.8,25,1.9,21,1.6,0,0.0,"1,272",95.5,1,0.1,1,0.1,0,0.0,2,0.2
10,609921,3380,Telpochcalli,253,5,2.0,3,1.2,3,1.2,0,0.0,241,95.3,0,0.0,0,0.0,0,0.0,1,0.4
10,610227,6440,Whitney,"1,114",7,0.6,1,0.1,1,0.1,0,0.0,"1,085",97.4,1,0.1,0,0.0,0,0.0,19,1.7
11,610544,8660,Azuela,766,21,2.7,17,2.2,5,0.7,1,0.1,712,93.0,0,0.0,0,0.0,0,0.0,10,1.3
11,609832,2570,Byrne,692,306,44.2,10,1.4,4,0.6,0,0.0,365,52.7,6,0.9,1,0.1,0,0.0,0,0.0
11,610352,7870,Durkin Park,548,37,6.8,67,12.2,8,1.5,0,0.0,429,78.3,4,0.7,3,0.5,0,0.0,0,0.0
11,609903,3200,Edwards,"1,413",62,4.4,4,0.3,11,0.8,0,0.0,"1,329",94.1,1,0.1,4,0.3,2,0.1,0,0.0
11,610057,4660,Fairfield,612,4,0.7,272,44.4,8,1.3,0,0.0,319,52.1,6,1.0,2,0.3,1,0.2,0,0.0
11,609807,2350,Hampton,689,5,0.7,371,53.8,5,0.7,0,0.0,302,43.8,4,0.6,0,0.0,2,0.3,0,0.0
11,609981,3890,Hearst,346,3,0.9,188,54.3,3,0.9,0,0.0,149,43.1,1,0.3,1,0.3,1,0.3,0,0.0
11,610532,8021,Hernandez,986,15,1.5,19,1.9,2,0.2,0,0.0,949,96.2,1,0.1,0,0.0,0,0.0,0,0.0
11,610006,4120,Hurley,848,6,0.7,26,3.1,7,0.8,0,0.0,806,95.0,0,0.0,2,0.2,0,0.0,1,0.1
11,610291,7170,Lee,855,23,2.7,17,2.0,7,0.8,0,0.0,807,94.4,1,0.1,0,0.0,0,0.0,0,0.0
