Area,School ID,Unit,School,Total,White No,White Pct,African American No,African American Pct,Native American/Alaskan No,Native American/Alaskan Pct,Asian/Pac Islander No,Asian/Pac Islander Pct,Hispanic No,Hispanic Pct,Multi-Racial No,Multi-Racial Pct,Asian No,Asian Pct,Hawaiian Pac Islander No,Hawaiian Pac Islander Pct,Na No,Na Pct
3,610305,7320,Leland,183,0,0.0,177,96.7,0,0.0,0,0.0,6,3.3,0,0.0,0,0.0,0,0.0,0,0.0
3,610036,4450,Lewis,629,5,0.8,530,84.3,0,0.0,0,0.0,94,14.9,0,0.0,0,0.0,0,0.0,0,0.0
3,610041,4510,Locke J.,"1,299",166,12.8,32,2.5,19,1.5,0,0.0,"1,031",79.4,5,0.4,45,3.5,1,0.1,0,0.0
3,610043,4530,Lovett,467,2,0.4,414,88.7,0,0.0,0,0.0,45,9.6,4,0.9,0,0.0,2,0.4,0,0.0
3,610058,4670,May,501,0,0.0,497,99.2,1,0.2,0,0.0,1,0.2,2,0.4,0,0.0,0,0.0,0,0.0
3,610282,7040,McNair,496,0,0.0,472,95.2,0,0.0,0,0.0,21,4.2,1,0.2,2,0.4,0,0.0,0,0.0
3,610092,5050,Nash,441,0,0.0,431,97.7,0,0.0,0,0.0,10,2.3,0,0.0,0,0.0,0,0.0,0,0.0
3,610183,6000,Spencer,786,1,0.1,771,98.1,0,0.0,0,0.0,14,1.8,0,0.0,0,0.0,0,0.0,0,0.0
3,610235,6520,Young,"1,210",0,0.0,"1,077",89.0,5,0.4,0,0.0,111,9.2,7,0.6,0,0.0,4,0.3,6,0.5
4,609780,2090,Ames Middle,567,6,1.1,25,4.4,1,0.2,0,0.0,529,93.3,5,0.9,1,0.2,0,0.0,0,0.0
4,609922,3390,Belmont-Cragin,632,24,3.8,5,0.8,4,0.6,0,0.0,592,93.7,2,0.3,5,0.8,0,0.0,0,0.0
4,609835,2610,Cameron,861,7,0.8,336,39.0,0,0.0,0,0.0,517,60.0,0,0.0,0,0.0,0,0.0,1,0.1
4,610539,8600,Camras,664,66,9.9,19,2.9,12,1.8,0,0.0,554,83.4,2,0.3,10,1.5,1,0.2,0,0.0
4,610021,4290,Casals,507,1,0.2,250,49.3,0,0.0,0,0.0,252,49.7,4,0.8,0,0.0,0,0.0,0,0.0
4,609853,2760,Chase,496,20,4.0,17,3.4,0,0.0,0,0.0,457,92.1,0,0.0,2,0.4,0,0.0,0,0.0
4,609854,2770,Chopin,309,15,4.9,24,7.8,3,1.0,0,0.0,266,86.1,0,0.0,0,0.0,0,0.0,1,0.3
4,609863,2850,Columbus,328,146,44.5,15,4.6,2,0.6,0,0.0,158,48.2,4,1.2,2,0.6,1,0.3,0,0.0
4,609875,2960,Darwin,671,18,2.7,86,12.8,9,1.3,0,0.0,555,82.7,1,0.1,2,0.3,0,0.0,0,0.0
4,610068,4770,Hanson Park,"1,438",34,2.4,51,3.5,6,0.4,0,0.0,"1,342",93.3,3,0.2,2,0.1,0,0.0,0,0.0
4,610031,4400,Lafayette,497,7,1.4,156,31.4,0,0.0,0,0.0,330,66.4,0,0.0,4,0.8,0,0.0,0,0.0
4,610040,4500,Lloyd,"1,296",10,0.8,28,2.2,5,0.4,0,0.0,"1,249",96.4,2,0.2,2,0.2,0,0.0,0,0.0
4,610044,4540,Lowell,598,4,0.7,146,24.4,1,0.2,0,0.0,446,74.6,0,0.0,0,0.0,0,0.0,1,0.2
4,609968,3770,McAuliffe,805,16,2.0,52,6.5,2,0.2,0,0.0,734,91.2,1,0.1,0,0.0,0,0.0,0,0.0
4,610076,4870,Moos,487,12,2.5,43,8.8,6,1.2,0,0.0,419,86.0,2,0.4,5,1.0,0,0.0,0,0.0
4,610088,5000,Mozart,810,8,1.0,50,6.2,0,0.0,0,0.0,749,92.5,0,0.0,0,0.0,3,0.4,0,0.0
4,610097,5100,Nixon,"1,039",6,0.6,20,1.9,8,0.8,0,0.0,"1,000",96.2,2,0.2,2,0.2,1,0.1,0,0.0
4,610098,5110,Nobel,808,1,0.1,133,16.5,11,1.4,0,0.0,657,81.3,5,0.6,0,0.0,1,0.1,0,0.0
4,610051,4600,Northwest Middle,816,14,1.7,29,3.6,6,0.7,0,0.0,761,93.3,3,0.4,3,0.4,0,0.0,0,0.0
4,610106,5210,Piccolo,587,3,0.5,390,66.4,1,0.2,0,0.0,190,32.4,3,0.5,0,0.0,0,0.0,0,0.0
4,610533,8023,Prieto,944,19,2.0,29,3.1,2,0.2,0,0.0,894,94.7,0,0.0,0,0.0,0,0.0,0,0.0
4,610320,7510,Roque De Duprey,86,3,3.5,18,20.9,1,1.2,0,0.0,64,74.4,0,0.0,0,0.0,0,0.0,0,0.0
4,610165,5800,Schubert,989,35,3.5,22,2.2,18,1.8,0,0.0,903,91.3,4,0.4,7,0.7,0,0.0,0,0.0
4,610192,6080,Stowe,923,6,0.7,77,8.3,4,0.4,0,0.0,829,89.8,7,0.8,0,0.0,0,0.0,0,0.0
4,610210,6280,Von Humboldt,461,3,0.7,189,41.0,1,0.2,0,0.0,226,49.0,0,0.0,0,0.0,1,0.2,41,8.9
4,610100,5140,West Park,713,5,0.7,213,29.9,3,0.4,0,0.0,491,68.9,1,0.1,0,0.0,0,0.0,0,0.0
4,610234,6510,Yates,711,14,2.0,104,14.6,8,1.1,0,0.0,581,81.7,1,0.1,1,0.1,1,0.1,1,0.1
6,609773,2030,Agassiz,430,145,33.7,110,25.6,0,0.0,0,0.0,153,35.6,12,2.8,9,2.1,1,0.2,0,0.0
6,609774,2040,Alcott,511,329,64.4,63,12.3,2,0.4,0,0.0,74,14.5,16,3.1,26,5.1,1,0.2,0,0.0
6,610524,8035,Alcott HS,177,23,13.0,60,33.9,2,1.1,0,0.0,81,45.8,8,4.5,2,1.1,1,0.6,0,0.0
6,609776,2060,Andersen,103,2,1.9,15,14.6,0,0.0,0,0.0,86,83.5,0,0.0,0,0.0,0,0.0,0,0.0
6,609787,2140,Avondale,724,19,2.6,36,5.0,0,0.0,0,0.0,659,91.0,3,0.4,4,0.6,0,0.0,3,0.4
6,609809,2370,Brentano,462,14,3.0,19,4.1,2,0.4,0,0.0,412,89.2,7,1.5,2,0.4,0,0.0,6,1.3
6,609820,2470,Burley,568,277,48.8,24,4.2,7,1.2,1,0.2,193,34.0,32,5.6,34,6.0,0,0.0,0,0.0
6,609828,2530,Burr,355,107,30.1,32,9.0,0,0.0,0,0.0,195,54.9,15,4.2,6,1.7,0,0.0,0,0.0
6,609838,2640,Carpenter,138,0,0.0,54,39.1,3,2.2,0,0.0,81,58.7,0,0.0,0,0.0,0,0.0,0,0.0
6,610313,7420,De Diego,906,20,2.2,88,9.7,3,0.3,0,0.0,776,85.7,6,0.7,11,1.2,0,0.0,2,0.2
6,609896,3120,Drummond Magnet,319,96,30.1,16,5.0,0,0.0,0,0.0,174,54.5,19,6.0,14,4.4,0,0.0,0,0.0
6,609926,3420,Franklin Magnet,363,120,33.1,121,33.3,0,0.0,0,0.0,71,19.6,23,6.3,28,7.7,0,0.0,0,0.0
6,609974,3830,Hawthorne Magnet,567,263,46.4,73,12.9,15,2.6,0,0.0,129,22.8,50,8.8,27,4.8,10,1.8,0,0.0
6,610012,4200,Jenner,376,0,0.0,372,98.9,0,0.0,0,0.0,2,0.5,0,0.0,1,0.3,0,0.0,1,0.3
6,610033,4420,LaSalle Magnet,576,197,34.2,141,24.5,3,0.5,0,0.0,132,22.9,49,8.5,54,9.4,0,0.0,0,0.0
6,610038,4480,Lincoln,741,469,63.3,84,11.3,5,0.7,0,0.0,67,9.0,62,8.4,54,7.3,0,0.0,0,0.0
6,610039,4490,Linne,621,25,4.0,3,0.5,0,0.0,0,0.0,581,93.6,3,0.5,8,1.3,0,0.0,1,0.2
6,610325,7560,Logandale Middle,254,10,3.9,15,5.9,0,0.0,0,0.0,224,88.2,2,0.8,3,1.2,0,0.0,0,0.0
6,610029,4380,Lozano Bilingual,335,8,2.4,13,3.9,1,0.3,0,0.0,298,89.0,0,0.0,2,0.6,0,0.0,13,3.9
6,610048,4580,Manierre,458,1,0.2,454,99.1,0,0.0,0,0.0,3,0.7,0,0.0,0,0.0,0,0.0,0,0.0
6,610059,4680,Mayer Magnet,595,232,39.0,172,28.9,4,0.7,6,1.0,136,22.9,27,4.5,12,2.0,1,0.2,5,0.8
6,610107,5220,Otis,438,23,5.3,77,17.6,1,0.2,0,0.0,327,74.7,8,1.8,2,0.5,0,0.0,0,0.0
6,610119,5330,Peabody,256,3,1.2,58,22.7,0,0.0,0,0.0,193,75.4,1,0.4,0,0.0,0,0.0,1,0.4
6,610136,5500,Prescott,205,33,16.1,37,18.0,7,3.4,0,0.0,120,58.5,3,1.5,5,2.4,0,0.0,0,0.0
6,610229,6460,Pritzker,626,128,20.4,245,39.1,3,0.5,0,0.0,202,32.3,34,5.4,13,2.1,1,0.2,0,0.0
6,610138,5520,Pulaski,830,40,4.8,16,1.9,5,0.6,0,0.0,760,91.6,1,0.1,8,1.0,0,0.0,0,0.0
6,610342,7790,Sabin Magnet,597,5,0.8,90,15.1,7,1.2,0,0.0,484,81.1,4,0.7,7,1.2,0,0.0,0,0.0
6,610164,5790,Schneider,73,1,1.4,53,72.6,0,0.0,0,0.0,15,20.5,3,4.1,0,0.0,1,1.4,0,0.0
6,610197,6140,Talcott,549,41,7.5,47,8.6,2,0.4,0,0.0,439,80.0,12,2.2,8,1.5,0,0.0,0,0.0
7,609797,2250,Beidler,408,0,0.0,399,97.8,1,0.2,0,0.0,6,1.5,0,0.0,0,0.0,0,0.0,2,0.5
7,609812,2400,Brown W.,214,2,0.9,204,95.3,0,0.0,0,0.0,6,2.8,0,0.0,0,0.0,2,0.9,0,0.0
7,610243,6610,Calhoun North,303,0,0.0,302,99.7,0,0.0,0,0.0,0,0.0,1,0.3,0,0.0,0,0.0,0,0.0
7,610251,6730,Cather,219,0,0.0,218,99.5,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0
7,609881,3000,Delano,426,0,0.0,417,97.9,0,0.0,0,0.0,7,1.6,0,0.0,1,0.2,0,0.0,1,0.2
7,610252,6740,Dett,246,2,0.8,243,98.8,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0,0,0.0
7,609907,3240,Ericson Magnet,501,2,0.4,496,99.0,1,0.2,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0
7,610055,4640,Faraday,205,0,0.0,205,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,610503,5850,Frazier International,215,0,0.0,211,98.1,0,0.0,0,0.0,3,1.4,0,0.0,1,0.5,0,0.0,0,0.0
7,610348,7840,Goldblatt,273,0,0.0,267,97.8,0,0.0,0,0.0,3,1.1,3,1.1,0,0.0,0,0.0,0,0.0
7,609954,3660,Gregory,368,0,0.0,365,99.2,0,0.0,0,0.0,2,0.5,1,0.3,0,0.0,0,0.0,0,0.0
7,609985,3910,Hefferan,287,0,0.0,285,99.3,0,0.0,0,0.0,0,0.0,1,0.3,1,0.3,0,0.0,0,0.0
7,609989,3950,Herbert,376,0,0.0,355,94.4,0,0.0,0,0.0,12,3.2,5,1.3,1,0.3,0,0.0,3,0.8
7,610005,4110,Hughes C.,304,0,0.0,297,97.7,0,0.0,0,0.0,5,1.6,2,0.7,0,0.0,0,0.0,0,0.0
7,610121,5350,Irving,497,12,2.4,318,64.0,2,0.4,0,0.0,148,29.8,10,2.0,3,0.6,0,0.0,4,0.8
7,610271,6920,Jensen Magnet,409,0,0.0,406,99.3,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0,2,0.5
7,609925,3410,Kellman,294,0,0.0,288,98.0,0,0.0,0,0.0,2,0.7,3,1.0,0,0.0,1,0.3,0,0.0
7,610241,6590,Marconi,233,0,0.0,230,98.7,0,0.0,0,0.0,3,1.3,0,0.0,0,0.0,0,0.0,0,0.0
7,610131,5450,Plamondon,161,1,0.6,21,13.0,1,0.6,0,0.0,135,83.9,3,1.9,0,0.0,0,0.0,0,0.0
7,610154,5680,Ryerson,463,1,0.2,461,99.6,0,0.0,0,0.0,0,0.0,1,0.2,0,0.0,0,0.0,0,0.0
7,610405,6340,Suder Montessori,308,44,14.3,175,56.8,0,0.0,0,0.0,64,20.8,11,3.6,14,4.5,0,0.0,0,0.0
7,610202,6210,Tilton,355,0,0.0,355,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
7,610133,5470,Ward L.,441,2,0.5,419,95.0,0,0.0,0,0.0,19,4.3,1,0.2,0,0.0,0,0.0,0,0.0
7,610221,6380,Webster,373,0,0.0,370,99.2,1,0.3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5
9,609777,2070,Armour,332,20,6.0,12,3.6,1,0.3,3,0.9,287,86.4,3,0.9,5,1.5,0,0.0,1,0.3
9,609851,2740,Chalmers,261,0,0.0,258,98.9,0,0.0,0,0.0,3,1.1,0,0.0,0,0.0,0,0.0,0,0.0
9,609867,2890,Cooper,718,2,0.3,4,0.6,6,0.8,0,0.0,670,93.3,1,0.1,4,0.6,0,0.0,31,4.3
9,609894,3100,Drake,247,2,0.8,233,94.3,0,0.0,1,0.4,5,2.0,1,0.4,5,2.0,0,0.0,0,0.0
9,609966,3750,Hammond,448,2,0.4,37,8.3,1,0.2,0,0.0,405,90.4,2,0.4,0,0.0,1,0.2,0,0.0
9,610240,6570,Henson,280,0,0.0,276,98.6,1,0.4,0,0.0,2,0.7,1,0.4,0,0.0,0,0.0,0,0.0
9,609991,3970,Herzl,554,1,0.2,539,97.3,0,0.0,0,0.0,7,1.3,2,0.4,2,0.4,0,0.0,3,0.5
9,609996,4020,Holden,592,54,9.1,35,5.9,3,0.5,3,0.5,415,70.1,13,2.2,68,11.5,0,0.0,1,0.2
9,610015,4230,Jungman,300,2,0.7,8,2.7,1,0.3,0,0.0,286,95.3,2,0.7,0,0.0,0,0.0,1,0.3
9,610023,4310,King EL,295,7,2.4,211,71.5,0,0.0,0,0.0,77,26.1,0,0.0,0,0.0,0,0.0,0,0.0
9,610026,4330,Kinzie,720,220,30.6,28,3.9,5,0.7,0,0.0,462,64.2,2,0.3,2,0.3,0,0.0,1,0.1
9,610034,4430,Lawndale,548,0,0.0,538,98.2,0,0.0,0,0.0,2,0.4,0,0.0,0,0.0,0,0.0,8,1.5
9,610062,4710,McClellan,274,40,14.6,48,17.5,1,0.4,0,0.0,134,48.9,12,4.4,10,3.6,0,0.0,29,10.6
9,610293,7190,Melody,335,0,0.0,331,98.8,0,0.0,0,0.0,2,0.6,0,0.0,0,0.0,0,0.0,2,0.6
9,610329,7610,Orozco,634,3,0.5,7,1.1,6,0.9,0,0.0,617,97.3,1,0.2,0,0.0,0,0.0,0,0.0
9,609872,2930,Perez,438,0,0.0,12,2.7,1,0.2,0,0.0,418,95.4,0,0.0,0,0.0,0,0.0,7,1.6
9,610129,5430,Pickard,665,9,1.4,19,2.9,1,0.2,0,0.0,631,94.9,3,0.5,2,0.3,0,0.0,0,0.0
9,610013,4210,Pilsen,437,4,0.9,16,3.7,3,0.7,0,0.0,408,93.4,2,0.5,4,0.9,0,0.0,0,0.0
9,610534,8024,Skinner North,167,55,32.9,37,22.2,0,0.0,0,0.0,23,13.8,7,4.2,45,26.9,0,0.0,0,0.0
9,610180,5970,Smyth J.,575,0,0.0,550,95.7,1,0.2,0,0.0,15,2.6,3,0.5,2,0.3,0,0.0,4,0.7
9,609990,3960,South Loop,690,182,26.4,340,49.3,1,0.1,0,0.0,59,8.6,31,4.5,52,7.5,25,3.6,0,0.0
9,610216,6320,Walsh,484,14,2.9,28,5.8,0,0.0,0,0.0,435,89.9,0,0.0,5,1.0,1,0.2,1,0.2
9,610228,6450,Whittier,414,1,0.2,3,0.7,0,0.0,0,0.0,408,98.6,2,0.5,0,0.0,0,0.0,0,0.0
9,610232,6490,Williams,254,0,0.0,253,99.6,0,0.0,0,0.0,0,0.0,1,0.4,0,0.0,0,0.0,0,0.0
9,610336,7720,Williams Middle,114,0,0.0,110,96.5,1,0.9,0,0.0,1,0.9,2,1.8,0,0.0,0,0.0,0,0.0
10,610024,4320,Cardenas,637,3,0.5,7,1.1,3,0.5,0,0.0,622,97.6,1,0.2,0,0.0,0,0.0,1,0.2
10,609826,2510,Castellanos,545,1,0.2,9,1.7,0,0.0,0,0.0,534,98.0,0,0.0,1,0.2,0,0.0,0,0.0
10,609870,2910,Corkery,642,4,0.6,138,21.5,4,0.6,0,0.0,492,76.6,3,0.5,0,0.0,0,0.0,1,0.2
10,609873,2940,Crown,337,1,0.3,322,95.5,0,0.0,0,0.0,13,3.9,0,0.0,0,0.0,0,0.0,1,0.3
10,609876,2970,Davis N.,"1,048",15,1.4,3,0.3,0,0.0,0,0.0,"1,026",97.9,3,0.3,0,0.0,1,0.1,0,0.0
10,610254,6760,Dvorak,550,0,0.0,543,98.7,0,0.0,0,0.0,6,1.1,0,0.0,0,0.0,0,0.0,1,0.2
10,609909,3260,Everett,333,12,3.6,4,1.2,0,0.0,0,0.0,308,92.5,3,0.9,6,1.8,0,0.0,0,0.0
