,School Year,School ID,School Name,Homeroom,Count of Suspension Events,Dummy Room number to remove names,Original Homeroom
32073,2011-2012,609732,STEINMETZ  HS,A875,124,,A875
32074,2011-2012,609754,CHGO MILITARY ACAD HS,A001,124,,A001
32075,2011-2012,610241,MARCONI,A004,124,,A004
32076,2012-2013,610075,MONTEFIORE,A006,125,,A006
32077,2013-2014,609806,BRADWELL,A502,125,,A502
32078,2014-2015,610389,ORR HS,A503,125,,A503
32079,2010-2011,610266,DUMAS,A506,126,,A506
32080,2011-2012,610277,OVERTON,A601,126,,A601
32081,2011-2012,610401,CLEMENTE AA HS,A605,126,,A605
32082,2012-2013,610266,DUMAS TECH ACAD,A610,126,,A610
32083,2014-2015,609676,DUNBAR HS,A707,126,,A707
32084,2010-2011,610499,COLLINS HS,A708,127,,A708
32085,2011-2012,609694,HANCOCK HS,A710,127,,A710
32086,2011-2012,609737,VON STEUBEN HS,A805,127,,A805
32087,2012-2013,610031,LAFAYETTE,A807,127,,A807
32088,2013-2014,609713,HYDE PARK HS,A809,127,,A809
32089,2014-2015,609676,DUNBAR HS,A812,127,,A812
32090,2014-2015,609705,FENGER HS,A901,127,,A901
32091,2010-2011,609704,FARRAGUT HS,A902,128,,A902
32092,2010-2011,609947,GRAHAM,A905,128,,A905
32093,2010-2011,610030,KOZMINSKI,A517,128,,A517
32094,2010-2011,610103,O'KEEFFE,A601,128,,A601
32095,2011-2012,400018,AUSTIN BUS & ENTRP HS,A702,128,,A702
32096,2011-2012,610052,MANN,A703,128,,A703
32097,2012-2013,610030,KOZMINSKI,A801,128,,A801
32098,2012-2013,610389,ORR HS,A802,128,,A802
32099,2013-2014,609682,RICHARDS HS,A803,128,,A803
32100,2014-2015,609730,SENN HS,A500,128,,A500
32101,2010-2011,610052,MANN,A600,129,,A600
32102,2013-2014,609903,EDWARDS,A602,129,,A602
32103,2013-2014,610133,"WARD, L",A700,129,,A700
32104,2013-2014,610279,TANNER,A800,129,,A800
32105,2014-2015,610389,ORR HS,A215,129,,A215
32106,2011-2012,609716,KELVYN PARK HS,A217,130,,A217
32107,2010-2011,609730,SENN HS,A306,131,,A306
32108,2010-2011,610233,YALE,A312,131,,A312
32109,2012-2013,609706,FENGER AA HS,A314,131,,A314
32110,2013-2014,610381,BRONZEVILLE HS,A316,131,,A316
32111,2010-2011,610028,KOHN,A317,132,,A317
32112,2010-2011,610077,MORRILL,A319,132,,A319
32113,2010-2011,610246,BEASLEY,A320,132,,A320
