,School Year,School ID,School Name,Homeroom,Count of Suspension Events,Dummy Room number to remove names,Original Homeroom
0,2010-2011,400018,AUSTIN BUS & ENTRP CONTR HS,A101,*,,A101
1,2010-2011,400018,AUSTIN BUS & ENTRP CONTR HS,A102,*,,A102
2,2010-2011,400022,CHGO ARTS CONTR HS,A103,*,,A103
3,2010-2011,400040,FRAZIER CONTR,A104,*,,A104
4,2010-2011,400043,HOPE CONTR ES,A110,*,,A110
5,2010-2011,400068,PLATO CONTR,A201,*,,A201
6,2010-2011,400091,CHGO ADV CONTR HS,A202,*,,A202
7,2010-2011,400095,GARFIELD PARK CONTR,A203,*,,A203
8,2010-2011,400095,GARFIELD PARK CONTR,A210,*,,A210
9,2010-2011,400095,GARFIELD PARK CONTR,A301,*,,A301
10,2010-2011,609674,CHICAGO VOCATIONAL HS,A302,*,,A302
11,2010-2011,609674,CHICAGO VOCATIONAL HS,A304,*,,A304
12,2010-2011,609676,DUNBAR HS,A305,*,,A305
13,2010-2011,609676,DUNBAR HS,A310,*,,A310
14,2010-2011,609678,JONES HS,A311,*,,A311
15,2010-2011,609678,JONES HS,A401,*,,A401
16,2010-2011,609678,JONES HS,A410,*,,A410
17,2010-2011,609678,JONES HS,A411,*,,A411
18,2010-2011,609678,JONES HS,A412,*,,A412
19,2010-2011,609678,JONES HS,,*,,
20,2010-2011,609678,JONES HS,A300,*,,A300
21,2010-2011,609678,JONES HS,A301,*,,A301
22,2010-2011,609679,PROSSER HS,A302,*,,A302
23,2010-2011,609679,PROSSER HS,A303,*,,A303
24,2010-2011,609679,PROSSER HS,A304,*,,A304
25,2010-2011,609679,PROSSER HS,A305,*,,A305
26,2010-2011,609679,PROSSER HS,A306,*,,A306
27,2010-2011,609679,PROSSER HS,A401,*,,A401
28,2010-2011,609679,PROSSER HS,A402,*,,A402
29,2010-2011,609679,PROSSER HS,A403,*,,A403
30,2010-2011,609680,PAYTON HS,A404,*,,A404
31,2010-2011,609680,PAYTON HS,A406,*,,A406
32,2010-2011,609680,PAYTON HS,,*,,
33,2010-2011,609680,PAYTON HS,A110,*,,A110
34,2010-2011,609680,PAYTON HS,A211,*,,A211
35,2010-2011,609680,PAYTON HS,A213,*,,A213
36,2010-2011,609680,PAYTON HS,A310,*,,A310
37,2010-2011,609680,PAYTON HS,,*,,
38,2010-2011,609682,RICHARDS HS,Dolphin,*,,Dolphin
39,2010-2011,609691,NORTH-GRAND HS,M/Easte,*,,M/Easte
40,2010-2011,609692,SIMEON HS,,*,,
41,2010-2011,609692,SIMEON HS,,*,,
42,2010-2011,609692,SIMEON HS,A105,*,,A105
43,2010-2011,609692,SIMEON HS,A106,*,,A106
44,2010-2011,609692,SIMEON HS,A107,*,,A107
45,2010-2011,609692,SIMEON HS,A113,*,,A113
46,2010-2011,609692,SIMEON HS,A114,*,,A114
47,2010-2011,609692,SIMEON HS,A201,*,,A201
48,2010-2011,609692,SIMEON HS,A202,*,,A202
49,2010-2011,609693,WESTINGHOUSE HS,A206,*,,A206
50,2010-2011,609693,WESTINGHOUSE HS,A207,*,,A207
51,2010-2011,609693,WESTINGHOUSE HS,,*,,
52,2010-2011,609693,WESTINGHOUSE HS,8,*,,301
53,2010-2011,609695,AMUNDSEN HS,8,*,,302
54,2010-2011,609695,AMUNDSEN HS,8,*,,303
55,2010-2011,609695,AMUNDSEN HS,8,*,,304
56,2010-2011,609695,AMUNDSEN HS,8,*,,305
57,2010-2011,609695,AMUNDSEN HS,8,*,,402
58,2010-2011,609698,BOGAN HS,8,*,,405
59,2010-2011,609698,BOGAN HS,,*,,
60,2010-2011,609698,BOGAN HS,A106,*,,A106
61,2010-2011,609702,CRANE HS,A208,*,,A208
62,2010-2011,609702,CRANE HS,A210,*,,A210
63,2010-2011,609704,FARRAGUT HS,,*,,
64,2010-2011,609705,FENGER HS,A131,*,,A131
65,2010-2011,609705,FENGER HS,A132,*,,A132
66,2010-2011,609708,FOREMAN HS,A134,*,,A134
67,2010-2011,609708,FOREMAN HS,A138,*,,A138
68,2010-2011,609708,FOREMAN HS,A161,*,,A161
69,2010-2011,609708,FOREMAN HS,A162,*,,A162
70,2010-2011,609708,FOREMAN HS,A172,*,,A172
71,2010-2011,609708,FOREMAN HS,A181,*,,A181
72,2010-2011,609708,FOREMAN HS,A183,*,,A183
73,2010-2011,609708,FOREMAN HS,A198,*,,A198
74,2010-2011,609708,FOREMAN HS,A199,*,,A199
75,2010-2011,609708,FOREMAN HS,A231,*,,A231
76,2010-2011,609708,FOREMAN HS,A232,*,,A232
77,2010-2011,609708,FOREMAN HS,A234,*,,A234
78,2010-2011,609708,FOREMAN HS,A238,*,,A238
79,2010-2011,609708,FOREMAN HS,A241,*,,A241
80,2010-2011,609711,HARPER HS,A261,*,,A261
81,2010-2011,609711,HARPER HS,A262,*,,A262
82,2010-2011,609711,HARPER HS,A272,*,,A272
83,2010-2011,609712,HIRSCH HS,A281,*,,A281
84,2010-2011,609713,HYDE PARK HS,A282,*,,A282
85,2010-2011,609713,HYDE PARK HS,A283,*,,A283
86,2010-2011,609713,HYDE PARK HS,A295.1,*,,A295.1
87,2010-2011,609713,HYDE PARK HS,A299.1,*,,A299.1
88,2010-2011,609715,KELLY HS,A299.2,*,,A299.2
89,2010-2011,609715,KELLY HS,A303,*,,A303
90,2010-2011,609715,KELLY HS,A304,*,,A304
91,2010-2011,609715,KELLY HS,A306,*,,A306
92,2010-2011,609715,KELLY HS,A307,*,,A307
93,2010-2011,609715,KELLY HS,A308,*,,A308
94,2010-2011,609715,KELLY HS,A331,*,,A331
95,2010-2011,609715,KELLY HS,A332,*,,A332
96,2010-2011,609715,KELLY HS,A334,*,,A334
97,2010-2011,609715,KELLY HS,A335,*,,A335
98,2010-2011,609715,KELLY HS,A338,*,,A338
99,2010-2011,609715,KELLY HS,A361,*,,A361
100,2010-2011,609715,KELLY HS,A362,*,,A362
101,2010-2011,609715,KELLY HS,A372,*,,A372
102,2010-2011,609715,KELLY HS,A381,*,,A381
103,2010-2011,609715,KELLY HS,A382,*,,A382
104,2010-2011,609716,KELVYN PARK HS,A383,*,,A383
105,2010-2011,609716,KELVYN PARK HS,A403,*,,A403
106,2010-2011,609716,KELVYN PARK HS,A406,*,,A406
107,2010-2011,609716,KELVYN PARK HS,A407,*,,A407
108,2010-2011,609716,KELVYN PARK HS,A408,*,,A408
109,2010-2011,609716,KELVYN PARK HS,A411,*,,A411
110,2010-2011,609716,KELVYN PARK HS,A412,*,,A412
111,2010-2011,609716,KELVYN PARK HS,A413,*,,A413
112,2010-2011,609716,KELVYN PARK HS,A414,*,,A414
113,2010-2011,609718,KENNEDY HS,A415,*,,A415
114,2010-2011,609718,KENNEDY HS,A416,*,,A416
115,2010-2011,609719,LAKE VIEW HS,A417,*,,A417
116,2010-2011,609719,LAKE VIEW HS,A418,*,,A418
117,2010-2011,609719,LAKE VIEW HS,,*,,
118,2010-2011,609719,LAKE VIEW HS,A120,*,,A120
119,2010-2011,609719,LAKE VIEW HS,A201,*,,A201
120,2010-2011,609720,LANE HS,A302,*,,A302
121,2010-2011,609720,LANE HS,A303,*,,A303
122,2010-2011,609720,LANE HS,A401,*,,A401
123,2010-2011,609720,LANE HS,A402,*,,A402
124,2010-2011,609720,LANE HS,A403,*,,A403
125,2010-2011,609720,LANE HS,A404,*,,A404
126,2010-2011,609720,LANE HS,A405,*,,A405
127,2010-2011,609720,LANE HS,,*,,
128,2010-2011,609720,LANE HS,A104,*,,A104
129,2010-2011,609720,LANE HS,A105,*,,A105
130,2010-2011,609720,LANE HS,A106,*,,A106
131,2010-2011,609720,LANE HS,A107,*,,A107
132,2010-2011,609720,LANE HS,A108,*,,A108
133,2010-2011,609720,LANE HS,A109,*,,A109
134,2010-2011,609720,LANE HS,A110,*,,A110
135,2010-2011,609720,LANE HS,A120,*,,A120
136,2010-2011,609720,LANE HS,A127,*,,A127
137,2010-2011,609720,LANE HS,A135,*,,A135
138,2010-2011,609720,LANE HS,A140,*,,A140
139,2010-2011,609720,LANE HS,A141,*,,A141
140,2010-2011,609720,LANE HS,A150,*,,A150
141,2010-2011,609720,LANE HS,A201,*,,A201
142,2010-2011,609720,LANE HS,A203,*,,A203
143,2010-2011,609720,LANE HS,A204,*,,A204
144,2010-2011,609720,LANE HS,A205,*,,A205
145,2010-2011,609720,LANE HS,A207,*,,A207
146,2010-2011,609720,LANE HS,A208,*,,A208
147,2010-2011,609720,LANE HS,A209,*,,A209
148,2010-2011,609720,LANE HS,A211,*,,A211
149,2010-2011,609720,LANE HS,A212,*,,A212
150,2010-2011,609720,LANE HS,A213,*,,A213
151,2010-2011,609720,LANE HS,A215,*,,A215
152,2010-2011,609720,LANE HS,A216,*,,A216
153,2010-2011,609720,LANE HS,A218,*,,A218
154,2010-2011,609720,LANE HS,A220,*,,A220
155,2010-2011,609720,LANE HS,A227,*,,A227
156,2010-2011,609720,LANE HS,A235,*,,A235
157,2010-2011,609722,MANLEY HS,A240,*,,A240
158,2010-2011,609724,MATHER HS,A241,*,,A241
159,2010-2011,609724,MATHER HS,A242,*,,A242
160,2010-2011,609724,MATHER HS,A301,*,,A301
161,2010-2011,609724,MATHER HS,A302,*,,A302
162,2010-2011,609724,MATHER HS,A304,*,,A304
163,2010-2011,609724,MATHER HS,A306,*,,A306
164,2010-2011,609724,MATHER HS,A307,*,,A307
165,2010-2011,609724,MATHER HS,A308,*,,A308
166,2010-2011,609725,MORGAN PARK HS,A309,*,,A309
167,2010-2011,609725,MORGAN PARK HS,A310,*,,A310
168,2010-2011,609725,MORGAN PARK HS,A312,*,,A312
169,2010-2011,609725,MORGAN PARK HS,A314,*,,A314
170,2010-2011,609725,MORGAN PARK HS,A315,*,,A315
171,2010-2011,609725,MORGAN PARK HS,A320,*,,A320
172,2010-2011,609725,MORGAN PARK HS,A406,*,,A406
173,2010-2011,609725,MORGAN PARK HS,A407,*,,A407
174,2010-2011,609725,MORGAN PARK HS,A408,*,,A408
175,2010-2011,609725,MORGAN PARK HS,A410,*,,A410
176,2010-2011,609725,MORGAN PARK HS,A420,*,,A420
177,2010-2011,609725,MORGAN PARK HS,A421,*,,A421
178,2010-2011,609726,BROOKS HS,A427,*,,A427
179,2010-2011,609726,BROOKS HS,A450,*,,A450
180,2010-2011,609726,BROOKS HS,,*,,
181,2010-2011,609727,PHILLIPS HS,A101,*,,A101
182,2010-2011,609727,PHILLIPS HS,A102,*,,A102
183,2010-2011,609727,PHILLIPS HS,A103,*,,A103
184,2010-2011,609727,PHILLIPS HS,A104,*,,A104
185,2010-2011,609727,PHILLIPS HS,A105,*,,A105
186,2010-2011,609727,PHILLIPS HS,A106,*,,A106
187,2010-2011,609727,PHILLIPS HS,A108,*,,A108
188,2010-2011,609727,PHILLIPS HS,A201,*,,A201
189,2010-2011,609728,ROOSEVELT HS,A202,*,,A202
190,2010-2011,609728,ROOSEVELT HS,A203,*,,A203
191,2010-2011,609728,ROOSEVELT HS,A204,*,,A204
192,2010-2011,609728,ROOSEVELT HS,A205,*,,A205
193,2010-2011,609729,SCHURZ HS,A206,*,,A206
194,2010-2011,609729,SCHURZ HS,A207,*,,A207
195,2010-2011,609729,SCHURZ HS,A208,*,,A208
196,2010-2011,609729,SCHURZ HS,A302,*,,A302
197,2010-2011,609729,SCHURZ HS,A304,*,,A304
198,2010-2011,609730,SENN HS,A309,*,,A309
199,2010-2011,609730,SENN HS,A310,*,,A310
200,2010-2011,609732,STEINMETZ  HS,A401,*,,A401
201,2010-2011,609732,STEINMETZ  HS,A402,*,,A402
202,2010-2011,609732,STEINMETZ  HS,A404,*,,A404
203,2010-2011,609733,SULLIVAN HS,A405,*,,A405
204,2010-2011,609733,SULLIVAN HS,A406,*,,A406
205,2010-2011,609733,SULLIVAN HS,A408,*,,A408
206,2010-2011,609734,TAFT HS,A409,*,,A409
207,2010-2011,609734,TAFT HS,,*,,
208,2010-2011,609734,TAFT HS,A101,*,,A101
209,2010-2011,609734,TAFT HS,A103,*,,A103
210,2010-2011,609734,TAFT HS,A105,*,,A105
211,2010-2011,609734,TAFT HS,A106,*,,A106
212,2010-2011,609735,TILDEN HS,A107,*,,A107
213,2010-2011,609736,DYETT HS,A109,*,,A109
214,2010-2011,609737,VON STEUBEN HS,A110,*,,A110
215,2010-2011,609737,VON STEUBEN HS,A111,*,,A111
216,2010-2011,609737,VON STEUBEN HS,A112,*,,A112
217,2010-2011,609737,VON STEUBEN HS,A113,*,,A113
218,2010-2011,609737,VON STEUBEN HS,A201,*,,A201
219,2010-2011,609737,VON STEUBEN HS,A202,*,,A202
220,2010-2011,609737,VON STEUBEN HS,A204,*,,A204
221,2010-2011,609737,VON STEUBEN HS,A205,*,,A205
222,2010-2011,609737,VON STEUBEN HS,A206,*,,A206
223,2010-2011,609737,VON STEUBEN HS,A207,*,,A207
224,2010-2011,609737,VON STEUBEN HS,A208,*,,A208
225,2010-2011,609737,VON STEUBEN HS,A209,*,,A209
226,2010-2011,609737,VON STEUBEN HS,A211,*,,A211
227,2010-2011,609738,LINCOLN PARK HS,A212,*,,A212
228,2010-2011,609738,LINCOLN PARK HS,A213,*,,A213
229,2010-2011,609738,LINCOLN PARK HS,A214,*,,A214
230,2010-2011,609738,LINCOLN PARK HS,A215,*,,A215
231,2010-2011,609738,LINCOLN PARK HS,A216,*,,A216
232,2010-2011,609738,LINCOLN PARK HS,A301,*,,A301
233,2010-2011,609738,LINCOLN PARK HS,A302,*,,A302
234,2010-2011,609738,LINCOLN PARK HS,A303,*,,A303
235,2010-2011,609739,WASHINGTON HS,A305,*,,A305
236,2010-2011,609739,WASHINGTON HS,A306,*,,A306
237,2010-2011,609739,WASHINGTON HS,A307,*,,A307
238,2010-2011,609739,WASHINGTON HS,A308,*,,A308
239,2010-2011,609740,WELLS HS,A309,*,,A309
240,2010-2011,609740,WELLS HS,A310,*,,A310
241,2010-2011,609741,HUBBARD HS,A311,*,,A311
242,2010-2011,609743,PHILLIPS AA HS,A312,*,,A312
243,2010-2011,609744,NORTHSIDE LEARNING HS,A313,*,,A313
244,2010-2011,609744,NORTHSIDE LEARNING HS,A314,*,,A314
245,2010-2011,609744,NORTHSIDE LEARNING HS,A315,*,,A315
246,2010-2011,609744,NORTHSIDE LEARNING HS,A402,*,,A402
247,2010-2011,609744,NORTHSIDE LEARNING HS,A403,*,,A403
248,2010-2011,609744,NORTHSIDE LEARNING HS,A404,*,,A404
249,2010-2011,609744,NORTHSIDE LEARNING HS,A405,*,,A405
250,2010-2011,609744,NORTHSIDE LEARNING HS,A406,*,,A406
251,2010-2011,609744,NORTHSIDE LEARNING HS,A407,*,,A407
252,2010-2011,609744,NORTHSIDE LEARNING HS,A408,*,,A408
253,2010-2011,609744,NORTHSIDE LEARNING HS,A409,*,,A409
254,2010-2011,609745,SOUTHSIDE HS,A410,*,,A410
255,2010-2011,609745,SOUTHSIDE HS,A411,*,,A411
256,2010-2011,609745,SOUTHSIDE HS,A412,*,,A412
257,2010-2011,609745,SOUTHSIDE HS,A413,*,,A413
258,2010-2011,609745,SOUTHSIDE HS,A414,*,,A414
259,2010-2011,609745,SOUTHSIDE HS,A415,*,,A415
260,2010-2011,609746,KENWOOD HS,A416,*,,A416
261,2010-2011,609746,KENWOOD HS,MH444,*,,MH444
262,2010-2011,609746,KENWOOD HS,,*,,
263,2010-2011,609746,KENWOOD HS,A105,*,,A105
264,2010-2011,609746,KENWOOD HS,A109,*,,A109
265,2010-2011,609746,KENWOOD HS,A302,*,,A302
266,2010-2011,609746,KENWOOD HS,A307,*,,A307
267,2010-2011,609749,NORTHSIDE PREP HS,A308,*,,A308
268,2010-2011,609749,NORTHSIDE PREP HS,A311,*,,A311
269,2010-2011,609749,NORTHSIDE PREP HS,A312,*,,A312
270,2010-2011,609749,NORTHSIDE PREP HS,,*,,
271,2010-2011,609749,NORTHSIDE PREP HS,A101,*,,A101
272,2010-2011,609749,NORTHSIDE PREP HS,A102,*,,A102
273,2010-2011,609749,NORTHSIDE PREP HS,A103,*,,A103
274,2010-2011,609749,NORTHSIDE PREP HS,A104,*,,A104
275,2010-2011,609749,NORTHSIDE PREP HS,A201,*,,A201
276,2010-2011,609749,NORTHSIDE PREP HS,A202,*,,A202
277,2010-2011,609750,SIMPSON HS,A203,*,,A203
278,2010-2011,609750,SIMPSON HS,A204,*,,A204
279,2010-2011,609750,SIMPSON HS,A205,*,,A205
280,2010-2011,609751,KING HS,A301,*,,A301
281,2010-2011,609751,KING HS,A302,*,,A302
282,2010-2011,609751,KING HS,A303,*,,A303
283,2010-2011,609751,KING HS,A304,*,,A304
284,2010-2011,609751,KING HS,A305,*,,A305
285,2010-2011,609751,KING HS,A306,*,,A306
286,2010-2011,609753,CHGO AGR HS,A403,*,,A403
287,2010-2011,609753,CHGO AGR HS,,*,,
288,2010-2011,609753,CHGO AGR HS,A101,*,,A101
289,2010-2011,609755,YOUNG HS,A102,*,,A102
290,2010-2011,609755,YOUNG HS,A103,*,,A103
291,2010-2011,609755,YOUNG HS,A104,*,,A104
292,2010-2011,609755,YOUNG HS,A105,*,,A105
293,2010-2011,609755,YOUNG HS,A106,*,,A106
294,2010-2011,609755,YOUNG HS,A201,*,,A201
295,2010-2011,609755,YOUNG HS,A202,*,,A202
296,2010-2011,609755,YOUNG HS,A203,*,,A203
297,2010-2011,609755,YOUNG HS,A204,*,,A204
298,2010-2011,609755,YOUNG HS,A205,*,,A205
299,2010-2011,609755,YOUNG HS,A206,*,,A206
300,2010-2011,609755,YOUNG HS,A207,*,,A207
301,2010-2011,609755,YOUNG HS,A301,*,,A301
302,2010-2011,609755,YOUNG HS,A302,*,,A302
303,2010-2011,609755,YOUNG HS,A303,*,,A303
304,2010-2011,609755,YOUNG HS,A304,*,,A304
305,2010-2011,609755,YOUNG HS,A305,*,,A305
306,2010-2011,609755,YOUNG HS,A306,*,,A306
307,2010-2011,609755,YOUNG HS,A307,*,,A307
308,2010-2011,609755,YOUNG HS,A401,*,,A401
309,2010-2011,609756,CURIE HS,A402,*,,A402
310,2010-2011,609756,CURIE HS,A403,*,,A403
311,2010-2011,609756,CURIE HS,A404,*,,A404
312,2010-2011,609756,CURIE HS,A405,*,,A405
313,2010-2011,609759,CLEMENTE HS,A406,*,,A406
314,2010-2011,609759,CLEMENTE HS,,*,,
315,2010-2011,609760,CARVER MILITARY,A101,*,,A101
316,2010-2011,609760,CARVER MILITARY,A102,*,,A102
317,2010-2011,609760,CARVER MILITARY,A103,*,,A103
318,2010-2011,609760,CARVER MILITARY,A104,*,,A104
319,2010-2011,609761,CORLISS HS,A105,*,,A105
320,2010-2011,609764,JUAREZ HS,A106,*,,A106
321,2010-2011,609764,JUAREZ HS,A107,*,,A107
322,2010-2011,609764,JUAREZ HS,A108,*,,A108
323,2010-2011,609764,JUAREZ HS,A109,*,,A109
324,2010-2011,609764,JUAREZ HS,A110,*,,A110
325,2010-2011,609764,JUAREZ HS,A111,*,,A111
326,2010-2011,609764,JUAREZ HS,A112,*,,A112
327,2010-2011,609764,JUAREZ HS,A113,*,,A113
328,2010-2011,609764,JUAREZ HS,A114,*,,A114
329,2010-2011,609764,JUAREZ HS,A115,*,,A115
330,2010-2011,609764,JUAREZ HS,A202,*,,A202
331,2010-2011,609766,VAUGHN HS,A203,*,,A203
332,2010-2011,609766,VAUGHN HS,A204,*,,A204
333,2010-2011,609769,"GRAHAM,R HS",A205,*,,A205
334,2010-2011,609769,"GRAHAM,R HS",A206,*,,A206
335,2010-2011,609772,ADDAMS,A207,*,,A207
336,2010-2011,609772,ADDAMS,A208,*,,A208
337,2010-2011,609772,ADDAMS,A209,*,,A209
338,2010-2011,609772,ADDAMS,A210,*,,A210
339,2010-2011,609772,ADDAMS,A211,*,,A211
340,2010-2011,609773,AGASSIZ,A212,*,,A212
341,2010-2011,609773,AGASSIZ,A213,*,,A213
342,2010-2011,609774,ALCOTT ES,A214,*,,A214
343,2010-2011,609774,ALCOTT ES,A215,*,,A215
344,2010-2011,609774,ALCOTT ES,A301,*,,A301
345,2010-2011,609775,ALTGELD,A302,*,,A302
346,2010-2011,609775,ALTGELD,A303,*,,A303
347,2010-2011,609775,ALTGELD,A304,*,,A304
348,2010-2011,609776,ANDERSEN,A305,*,,A305
349,2010-2011,609777,ARMOUR,A306,*,,A306
350,2010-2011,609777,ARMOUR,A307,*,,A307
351,2010-2011,609779,"ARMSTRONG, G",A308,*,,A308
352,2010-2011,609779,"ARMSTRONG, G",A309,*,,A309
353,2010-2011,609779,"ARMSTRONG, G",A310,*,,A310
354,2010-2011,609779,"ARMSTRONG, G",A311,*,,A311
355,2010-2011,609779,"ARMSTRONG, G",A312,*,,A312
356,2010-2011,609779,"ARMSTRONG, G",A313,*,,A313
357,2010-2011,609779,"ARMSTRONG, G",A314,*,,A314
358,2010-2011,609780,AMES,A315,*,,A315
359,2010-2011,609780,AMES,A371,*,,A371
360,2010-2011,609781,ATTUCKS,A405,*,,A405
361,2010-2011,609786,AVALON PARK,A410,*,,A410
362,2010-2011,609787,AVONDALE,,*,,
363,2010-2011,609789,BARRY,A302,*,,A302
364,2010-2011,609789,BARRY,A303,*,,A303
365,2010-2011,609790,BARTON,A304,*,,A304
366,2010-2011,609790,BARTON,A305,*,,A305
367,2010-2011,609790,BARTON,A306,*,,A306
368,2010-2011,609790,BARTON,A309,*,,A309
369,2010-2011,609791,BASS,A310,*,,A310
370,2010-2011,609793,NICHOLSON,A311,*,,A311
371,2010-2011,609793,NICHOLSON,A312,*,,A312
372,2010-2011,609795,"CLARK, G",A313,*,,A313
373,2010-2011,609796,BEAUBIEN,A314,*,,A314
374,2010-2011,609796,BEAUBIEN,A401,*,,A401
375,2010-2011,609796,BEAUBIEN,A403,*,,A403
376,2010-2011,609796,BEAUBIEN,A404,*,,A404
377,2010-2011,609796,BEAUBIEN,A405,*,,A405
378,2010-2011,609796,BEAUBIEN,A406,*,,A406
379,2010-2011,609796,BEAUBIEN,A407,*,,A407
380,2010-2011,609796,BEAUBIEN,A408,*,,A408
381,2010-2011,609796,BEAUBIEN,A409,*,,A409
382,2010-2011,609796,BEAUBIEN,A410,*,,A410
383,2010-2011,609796,BEAUBIEN,A416,*,,A416
384,2010-2011,609798,BELDING,A499,*,,A499
385,2010-2011,609798,BELDING,,*,,
386,2010-2011,609798,BELDING,A101,*,,A101
387,2010-2011,609799,BELL,A102,*,,A102
388,2010-2011,609799,BELL,A103,*,,A103
389,2010-2011,609799,BELL,A104,*,,A104
390,2010-2011,609799,BELL,A105,*,,A105
391,2010-2011,609799,BELL,A106,*,,A106
392,2010-2011,609799,BELL,A107,*,,A107
393,2010-2011,609799,BELL,A108,*,,A108
394,2010-2011,609799,BELL,A109,*,,A109
395,2010-2011,609800,BENNETT,A110,*,,A110
396,2010-2011,609800,BENNETT,A201,*,,A201
397,2010-2011,609800,BENNETT,A202,*,,A202
398,2010-2011,609803,BLAINE,A203,*,,A203
399,2010-2011,609804,BOONE,A204,*,,A204
400,2010-2011,609805,JOPLIN,A205,*,,A205
401,2010-2011,609805,JOPLIN,A206,*,,A206
402,2010-2011,609806,BRADWELL,A207,*,,A207
403,2010-2011,609806,BRADWELL,A208,*,,A208
404,2010-2011,609806,BRADWELL,A301,*,,A301
405,2010-2011,609806,BRADWELL,A302,*,,A302
406,2010-2011,609806,BRADWELL,A303,*,,A303
407,2010-2011,609806,BRADWELL,A304,*,,A304
408,2010-2011,609806,BRADWELL,A305,*,,A305
409,2010-2011,609807,HAMPTON,A306,*,,A306
410,2010-2011,609808,HALEY,A307,*,,A307
411,2010-2011,609808,HALEY,A308,*,,A308
412,2010-2011,609808,HALEY,A309,*,,A309
413,2010-2011,609810,BRIDGE,A310,*,,A310
414,2010-2011,609810,BRIDGE,A401,*,,A401
415,2010-2011,609810,BRIDGE,A402,*,,A402
416,2010-2011,609810,BRIDGE,A403,*,,A403
417,2010-2011,609811,BRIGHT,A404,*,,A404
418,2010-2011,609811,BRIGHT,A405,*,,A405
419,2010-2011,609813,BROWNELL,A406,*,,A406
420,2010-2011,609815,BOUCHET,A407,*,,A407
421,2010-2011,609817,BUDLONG,A408,*,,A408
422,2010-2011,609817,BUDLONG,,*,,
423,2010-2011,609817,BUDLONG,A101,*,,A101
424,2010-2011,609818,BURBANK,A102,*,,A102
425,2010-2011,609818,BURBANK,A103,*,,A103
426,2010-2011,609818,BURBANK,A104,*,,A104
427,2010-2011,609818,BURBANK,A105,*,,A105
428,2010-2011,609818,BURBANK,A106,*,,A106
429,2010-2011,609818,BURBANK,A107,*,,A107
430,2010-2011,609819,BURKE,A108,*,,A108
431,2010-2011,609819,BURKE,A109,*,,A109
432,2010-2011,609820,BURLEY,A114,*,,A114
433,2010-2011,609820,BURLEY,A199,*,,A199
434,2010-2011,609820,BURLEY,A201,*,,A201
435,2010-2011,609820,BURLEY,A202,*,,A202
436,2010-2011,609826,CASTELLANOS,A203,*,,A203
437,2010-2011,609826,CASTELLANOS,A204,*,,A204
438,2010-2011,609826,CASTELLANOS,A205,*,,A205
439,2010-2011,609826,CASTELLANOS,A206,*,,A206
440,2010-2011,609826,CASTELLANOS,A208,*,,A208
441,2010-2011,609827,BURNSIDE,A210,*,,A210
442,2010-2011,609827,BURNSIDE,A211,*,,A211
443,2010-2011,609827,BURNSIDE,A299,*,,A299
444,2010-2011,609827,BURNSIDE,A301,*,,A301
445,2010-2011,609827,BURNSIDE,A302,*,,A302
446,2010-2011,609828,BURR,A303,*,,A303
447,2010-2011,609828,BURR,A304,*,,A304
448,2010-2011,609828,BURR,A305,*,,A305
449,2010-2011,609829,BURROUGHS,A306,*,,A306
450,2010-2011,609830,BRUNSON,A307,*,,A307
451,2010-2011,609830,BRUNSON,A308,*,,A308
452,2010-2011,609830,BRUNSON,A309,*,,A309
453,2010-2011,609832,BYRNE,A311,*,,A311
454,2010-2011,609832,BYRNE,A314,*,,A314
455,2010-2011,609832,BYRNE,A351,*,,A351
456,2010-2011,609832,BYRNE,A370,*,,A370
457,2010-2011,609833,CALDWELL,A373,*,,A373
458,2010-2011,609833,CALDWELL,A379,*,,A379
459,2010-2011,609833,CALDWELL,A381,*,,A381
460,2010-2011,609834,LITTLE VILLAGE,A386,*,,A386
461,2010-2011,609834,LITTLE VILLAGE,A399,*,,A399
462,2010-2011,609834,LITTLE VILLAGE,A401,*,,A401
463,2010-2011,609834,LITTLE VILLAGE,A402,*,,A402
464,2010-2011,609835,CAMERON,A403,*,,A403
465,2010-2011,609837,CARNEGIE,A404,*,,A404
466,2010-2011,609838,CARPENTER,A405,*,,A405
467,2010-2011,609839,CARROLL,A406,*,,A406
468,2010-2011,609839,CARROLL,A407,*,,A407
469,2010-2011,609842,CARSON,A408,*,,A408
470,2010-2011,609842,CARSON,A409,*,,A409
471,2010-2011,609842,CARSON,A410,*,,A410
472,2010-2011,609842,CARSON,A411,*,,A411
473,2010-2011,609842,CARSON,,*,,
474,2010-2011,609842,CARSON,A101,*,,A101
475,2010-2011,609844,CARTER,A102,*,,A102
476,2010-2011,609844,CARTER,A103,*,,A103
477,2010-2011,609844,CARTER,A104,*,,A104
478,2010-2011,609844,CARTER,A105,*,,A105
479,2010-2011,609845,"CARVER , G",A106,*,,A106
480,2010-2011,609845,"CARVER , G",A107,*,,A107
481,2010-2011,609848,ALDRIDGE,A108,*,,A108
482,2010-2011,609849,CASSELL,A110,*,,A110
483,2010-2011,609850,GREELEY,A131,*,,A131
484,2010-2011,609850,GREELEY,A132,*,,A132
485,2010-2011,609850,GREELEY,A133,*,,A133
486,2010-2011,609851,CHALMERS,A134,*,,A134
487,2010-2011,609851,CHALMERS,A202,*,,A202
488,2010-2011,609852,CHAPPELL,A203,*,,A203
489,2010-2011,609852,CHAPPELL,A204,*,,A204
490,2010-2011,609852,CHAPPELL,A205,*,,A205
