School ID,School Name,School Network,School Year,Time Period1,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
610402,DEVRY HS,HS Network - North-Northwest Side,2012-2013,EOY,13,5,8,0,6,46.2,3,23.1,1.61,3,1.6,1,4,30.8,2.15,4,2.1,1.25,0,0,0,0,0,0,0
610402,DEVRY HS,Network 4,2013-2014,S1,16,4,7,5,8,50,2,12.5,1.04,2,1,1,7,43.8,3.66,7,3.7,1.57,1,6.3,0.52,1,0.5,0,0
610402,DEVRY HS,Network 4,2013-2014,EOY,20,7,8,5,9,45,2,10,1.05,2,1,1,8,40,4.2,8,4.2,1.5,1,5,0.52,1,0.5,0,0
610402,DEVRY HS,Network 4,2014-2015,S1,12,4,4,4,2,16.7,0,0,0,0,0,0,2,16.7,1.02,2,1,3,0,0,0,0,0,0,0
610402,DEVRY HS,Network 4,2014-2015,EOY,22,11,6,5,5,22.7,3,13.6,1.55,3,1.5,1.67,2,9.1,1.03,2,1,3,0,0,0,0,0,0,0
609885,DEWEY,ES Network - Pershing,2011-2012,EOY,178,27,145,6,177,99.4,0,0,0,0,0,0,177,99.4,52.02,93,27.3,2.44,5,2.8,1.47,4,1.2,0,0
609885,DEWEY,ES Network - Pershing,2012-2013,EOY,180,25,140,15,180,100,0,0,0,0,0,0,180,100,53.87,79,23.6,2.54,0,0,0,0,0,0,0
609885,DEWEY,AUSL,2013-2014,S1,15,10,3,2,8,53.3,1,6.7,0.29,1,0.3,2,7,46.7,2.04,6,1.7,3,0,0,0,0,0,0,0
609885,DEWEY,AUSL,2013-2014,EOY,16,10,3,3,9,56.3,1,6.3,0.3,1,0.3,2,8,50,2.37,7,2.1,3.25,0,0,0,0,0,0,0
609885,DEWEY,AUSL,2014-2015,S1,16,6,8,2,7,43.8,5,31.3,1.35,4,1.1,2.4,2,12.5,0.54,2,0.5,6.5,1,6.3,0.27,1,0.3,0,0
609885,DEWEY,AUSL,2014-2015,EOY,35,14,18,3,21,60,14,40,3.83,10,2.7,2.14,7,20,1.92,6,1.6,4.43,1,2.9,0.27,1,0.3,0,0
610313,DIEGO,ES Network - Fulton,2011-2012,EOY,120,50,59,11,100,83.3,7,5.8,0.83,7,0.8,1.14,93,77.5,11.06,60,7.1,2.84,5,4.2,0.59,4,0.5,0,0
610313,DIEGO,ES Network - Fulton,2012-2013,EOY,119,59,49,11,99,83.2,21,17.6,2.7,21,2.7,1.1,79,66.4,10.17,58,7.5,2.01,3,2.5,0.39,3,0.4,0,0
610313,DIEGO,Network 5,2013-2014,S1,185,103,75,7,87,47,38,20.5,4.18,30,3.3,1.18,49,26.5,5.38,39,4.3,2.06,0,0,0,0,0,0,0
610313,DIEGO,Network 5,2013-2014,EOY,425,228,169,28,276,64.9,88,20.7,9.89,68,7.6,1.11,188,44.2,21.12,101,11.3,2.39,2,0.5,0.22,2,0.2,1,0.11
610313,DIEGO,Network 5,2014-2015,S1,58,26,25,7,23,39.7,4,6.9,0.52,4,0.5,1,19,32.8,2.49,16,2.1,1.53,1,1.7,0.13,1,0.1,0,0
610313,DIEGO,Network 5,2014-2015,EOY,123,55,60,8,54,43.9,16,13,2.11,16,2.1,1.06,38,30.9,5.01,25,3.3,1.68,5,4.1,0.66,4,0.5,0,0
609874,DIRKSEN,ES Network - O'Hare,2011-2012,EOY,63,7,53,3,58,92.1,5,7.9,0.65,5,0.6,2.2,53,84.1,6.87,33,4.3,2.25,2,3.2,0.26,2,0.3,0,0
609874,DIRKSEN,ES Network - O'Hare,2012-2013,EOY,90,54,34,2,41,45.6,12,13.3,1.54,8,1,1.33,31,34.4,3.97,15,1.9,1.9,2,2.2,0.26,2,0.3,0,0
609874,DIRKSEN,Network 1,2013-2014,S1,31,7,23,1,28,90.3,9,29,1.11,9,1.1,1.44,19,61.3,2.35,12,1.5,2,0,0,0,0,0,0,0
609874,DIRKSEN,Network 1,2013-2014,EOY,48,11,36,1,44,91.7,14,29.2,1.74,12,1.5,1.5,32,66.7,3.97,19,2.4,1.75,0,0,0,0,0,0,0
609874,DIRKSEN,Network 1,2014-2015,S1,16,9,7,0,3,18.8,3,18.8,0.36,3,0.4,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0
609874,DIRKSEN,Network 1,2014-2015,EOY,23,13,9,1,9,39.1,8,34.8,0.97,7,0.8,2.38,1,4.3,0.12,1,0.1,5,0,0,0,0,0,0,0
610363,DISNEY,ES Network - Ravenswood-Ridge,2011-2012,EOY,92,22,68,2,85,92.4,0,0,0,0,0,0,85,92.4,5.2,68,4.2,1.31,2,2.2,0.12,2,0.1,0,0
610363,DISNEY,ES Network - Ravenswood-Ridge,2012-2013,EOY,82,30,50,2,73,89,0,0,0,0,0,0,73,89,4.54,45,2.8,1.42,1,1.2,0.06,1,0.1,0,0
610363,DISNEY,Network 2,2013-2014,S1,59,20,31,8,46,78,0,0,0,0,0,0,46,78,2.76,35,2.1,1.02,0,0,0,0,0,0,0
610363,DISNEY,Network 2,2013-2014,EOY,134,41,80,13,116,86.6,4,3,0.24,4,0.2,1,112,83.6,6.77,69,4.2,1.4,5,3.7,0.3,5,0.3,0,0
610363,DISNEY,Network 2,2014-2015,S1,44,3,41,0,10,22.7,0,0,0,0,0,0,10,22.7,0.6,9,0.5,1.1,0,0,0,0,0,0,0
610363,DISNEY,Network 2,2014-2015,EOY,181,30,139,12,62,34.3,0,0,0,0,0,0,62,34.3,3.78,42,2.6,1.65,1,0.6,0.06,1,0.1,0,0
610515,DISNEY II,Network 1,2013-2014,EOY,4,1,3,0,4,100,2,50,0.49,2,0.5,1,2,50,0.49,2,0.5,1,0,0,0,0,0,0,0
610515,DISNEY II,Network 1,2014-2015,EOY,1,0,1,0,1,100,1,100,0.24,1,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
610564,DISNEY II MAGNET HS,Network 1,2013-2014,S1,8,3,5,0,4,50,0,0,0,0,0,0,4,50,1.65,3,1.2,2,0,0,0,0,0,0,0
610564,DISNEY II MAGNET HS,Network 1,2013-2014,EOY,22,5,15,2,18,81.8,12,54.5,4.99,9,3.7,1.25,9,40.9,3.74,8,3.3,2.33,0,0,0,0,0,0,0
610564,DISNEY II MAGNET HS,Network 1,2014-2015,S1,46,9,29,8,37,80.4,21,45.7,4.31,17,3.5,1.1,25,54.3,5.14,21,4.3,2.2,0,0,0,0,0,0,0
610564,DISNEY II MAGNET HS,Network 1,2014-2015,EOY,221,115,84,22,151,68.3,95,43,19.65,64,13.2,1.25,84,38,17.37,50,10.3,2.35,2,0.9,0.41,2,0.4,0,0
609887,DIXON,ES Network - Skyway,2011-2012,EOY,262,36,212,14,261,99.6,10,3.8,1.56,10,1.6,2.6,251,95.8,39.07,151,23.5,3.04,1,0.4,0.16,1,0.2,0,0
609887,DIXON,ES Network - Skyway,2012-2013,EOY,212,43,145,24,194,91.5,12,5.7,1.94,12,1.9,2.92,182,85.8,29.45,107,17.3,3.18,14,6.6,2.27,9,1.5,0,0
609887,DIXON,Network 12,2013-2014,S1,37,8,23,6,31,83.8,2,5.4,0.31,2,0.3,3,29,78.4,4.47,27,4.2,2.69,0,0,0,0,0,0,0
609887,DIXON,Network 12,2013-2014,EOY,129,21,98,10,117,90.7,4,3.1,0.62,4,0.6,3,113,87.6,17.39,86,13.2,2.82,2,1.6,0.31,2,0.3,0,0
609887,DIXON,Network 12,2014-2015,S1,33,2,31,0,27,81.8,1,3,0.16,1,0.2,2,26,78.8,4.07,23,3.6,2.65,1,3,0.16,1,0.2,0,0
609887,DIXON,Network 12,2014-2015,EOY,86,4,77,5,72,83.7,2,2.3,0.32,2,0.3,2.5,70,81.4,11.04,56,8.8,2.43,1,1.2,0.16,1,0.2,0,0
609888,DODGE,Network - AUSL,2011-2012,EOY,73,3,55,15,72,98.6,1,1.4,0.23,1,0.2,1,71,97.3,16.52,43,10,2.34,0,0,0,0,0,0,0
609888,DODGE,Network - AUSL,2012-2013,EOY,81,0,73,8,80,98.8,0,0,0,0,0,0,80,98.8,18.93,50,11.8,2.31,0,0,0,0,0,0,0
609888,DODGE,AUSL,2013-2014,S1,154,126,27,1,114,74,15,9.7,6.25,15,6.3,1.4,106,68.8,44.18,71,29.6,1.8,0,0,0,0,0,0,0
609888,DODGE,AUSL,2013-2014,EOY,252,191,57,4,175,69.4,17,6.7,7.3,17,7.3,1.35,165,65.5,70.83,83,35.6,1.75,0,0,0,0,0,0,0
609888,DODGE,AUSL,2014-2015,S1,36,13,20,3,15,41.7,0,0,0,0,0,0,15,41.7,7.94,14,7.4,1.13,0,0,0,0,0,0,0
609888,DODGE,AUSL,2014-2015,EOY,82,32,45,5,26,31.7,3,3.7,1.61,3,1.6,1,25,30.5,13.38,20,10.7,1.48,0,0,0,0,0,0,0
609891,DOOLITTLE,ES Network - Burnham Park,2011-2012,EOY,196,111,81,4,167,85.2,19,9.7,6.21,17,5.6,1.74,148,75.5,48.39,73,23.9,2.54,6,3.1,1.96,4,1.3,0,0
609891,DOOLITTLE,ES Network - Burnham Park,2012-2013,EOY,432,121,266,45,235,54.4,27,6.3,9.18,18,6.1,1.7,213,49.3,72.39,84,28.5,2.61,15,3.5,5.1,10,3.4,0,0
609891,DOOLITTLE,Network 9,2013-2014,S1,78,22,53,3,38,48.7,2,2.6,0.66,2,0.7,3,36,46.2,11.92,25,8.3,1.86,0,0,0,0,0,0,0
609891,DOOLITTLE,Network 9,2013-2014,EOY,195,53,126,16,99,50.8,9,4.6,2.94,9,2.9,1.67,90,46.2,29.44,53,17.3,1.83,4,2.1,1.31,2,0.7,1,0.33
609891,DOOLITTLE,Network 9,2014-2015,S1,39,12,21,6,9,23.1,3,7.7,0.99,2,0.7,1,6,15.4,1.98,6,2,3.83,1,2.6,0.33,1,0.3,0,0
609891,DOOLITTLE,Network 9,2014-2015,EOY,77,25,39,13,28,36.4,6,7.8,1.92,5,1.6,1.33,22,28.6,7.03,16,5.1,3.05,6,7.8,1.92,6,1.9,0,0
609893,DORE,ES Network - Midway,2011-2012,EOY,60,42,16,2,12,20,2,3.3,0.34,2,0.3,1,10,16.7,1.69,7,1.2,1.3,1,1.7,0.17,1,0.2,0,0
609893,DORE,ES Network - Midway,2012-2013,EOY,111,57,49,5,40,36,19,17.1,2.97,18,2.8,1.05,21,18.9,3.29,17,2.7,2.14,1,0.9,0.16,1,0.2,0,0
609893,DORE,Network 10,2013-2014,S1,47,37,10,0,9,19.1,4,8.5,0.62,4,0.6,1,5,10.6,0.78,5,0.8,1.4,0,0,0,0,0,0,0
609893,DORE,Network 10,2013-2014,EOY,86,51,29,6,25,29.1,8,9.3,1.26,6,0.9,1.13,18,20.9,2.82,15,2.4,1.83,0,0,0,0,0,0,0
609893,DORE,Network 10,2014-2015,S1,39,23,16,0,11,28.2,4,10.3,0.59,4,0.6,1,7,17.9,1.04,6,0.9,1.57,0,0,0,0,0,0,0
609893,DORE,Network 10,2014-2015,EOY,82,43,39,0,25,30.5,17,20.7,2.5,17,2.5,1,9,11,1.33,8,1.2,1.67,0,0,0,0,0,0,0
610245,DOUGLASS HS,HS Network - West Side,2011-2012,EOY,111,12,63,36,111,100,8,7.2,2.47,8,2.5,1,103,92.8,31.84,73,22.6,5.17,67,60.4,20.71,48,14.8,6,1.85
610245,DOUGLASS HS,HS Network - West Side,2012-2013,EOY,261,58,179,24,217,83.1,68,26.1,23.1,59,20,1.03,149,57.1,50.62,98,33.3,2.7,35,13.4,11.89,30,10.2,0,0
610245,DOUGLASS HS,Network 3,2013-2014,S1,1083,686,349,48,435,40.2,0,0,0,0,0,0,435,40.2,156.54,181,65.1,2.16,7,0.6,2.52,7,2.5,0,0
610245,DOUGLASS HS,Network 3,2013-2014,EOY,1911,1235,576,100,666,34.9,1,0.1,0.37,1,0.4,1,665,34.8,247.75,213,79.4,2.09,10,0.5,3.73,10,3.7,0,0
610245,DOUGLASS HS,Network 3,2014-2015,S1,366,165,156,45,188,51.4,130,35.5,53.57,83,34.2,1.15,64,17.5,26.37,49,20.2,2,0,0,0,0,0,0,0
610245,DOUGLASS HS,Network 3,2014-2015,EOY,1037,368,553,116,474,45.7,233,22.5,96.31,127,52.5,1.08,248,23.9,102.51,117,48.4,1.85,15,1.4,6.2,15,6.2,0,0
609894,DRAKE,ES Network - Burnham Park,2011-2012,EOY,95,38,55,2,93,97.9,8,8.4,3.14,8,3.1,2,85,89.5,33.34,42,16.5,2.52,3,3.2,1.18,3,1.2,0,0
609894,DRAKE,ES Network - Burnham Park,2012-2013,EOY,117,56,52,9,103,88,16,13.7,6.62,10,4.1,1.44,90,76.9,37.26,41,17,3,2,1.7,0.83,2,0.8,0,0
609894,DRAKE,Network 9,2013-2014,S1,53,19,24,10,44,83,4,7.5,0.79,4,0.8,3,44,83,8.74,36,7.1,2.84,3,5.7,0.6,3,0.6,0,0
609894,DRAKE,Network 9,2013-2014,EOY,156,89,52,15,66,42.3,5,3.2,0.99,5,1,2.6,65,41.7,12.89,44,8.7,2.63,4,2.6,0.79,4,0.8,0,0
609894,DRAKE,Network 9,2014-2015,S1,53,16,37,0,22,41.5,11,20.8,2.45,11,2.4,2,11,20.8,2.45,9,2,2.18,5,9.4,1.11,5,1.1,0,0
609894,DRAKE,Network 9,2014-2015,EOY,162,42,114,6,100,61.7,55,34,12.38,45,10.1,2.16,46,28.4,10.35,29,6.5,2.46,5,3.1,1.13,5,1.1,0,0
609896,DRUMMOND,ES Network - Fullerton,2011-2012,EOY,16,1,15,0,13,81.3,2,12.5,0.57,2,0.6,1.5,11,68.8,3.15,11,3.2,1.55,2,12.5,0.57,2,0.6,0,0
609896,DRUMMOND,ES Network - Fullerton,2012-2013,EOY,24,11,12,1,13,54.2,8,33.3,2.29,8,2.3,1.13,5,20.8,1.43,5,1.4,2.2,1,4.2,0.29,1,0.3,0,0
609896,DRUMMOND,Network 6,2013-2014,S1,5,1,4,0,2,40,2,40,0.57,2,0.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
609896,DRUMMOND,Network 6,2013-2014,EOY,20,8,12,0,6,30,3,15,0.86,3,0.9,1,3,15,0.86,3,0.9,2.33,0,0,0,0,0,0,0
609896,DRUMMOND,Network 6,2014-2015,S1,7,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
609896,DRUMMOND,Network 6,2014-2015,EOY,18,12,6,0,1,5.6,1,5.6,0.29,1,0.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
610364,DUBOIS,ES Network - Lake Calumet,2011-2012,EOY,54,12,31,11,47,87,0,0,0,0,0,0,47,87,25.31,30,16.2,2.62,3,5.6,1.62,2,1.1,0,0
610364,DUBOIS,ES Network - Lake Calumet,2012-2013,EOY,32,5,23,4,29,90.6,7,21.9,4.03,7,4,1.14,22,68.8,12.67,17,9.8,2.18,0,0,0,0,0,1,0.58
610364,DUBOIS,Network 13,2013-2014,S1,19,2,13,4,19,100,0,0,0,0,0,0,19,100,9.25,16,7.8,2.79,0,0,0,0,0,0,0
610364,DUBOIS,Network 13,2013-2014,EOY,21,2,13,6,21,100,0,0,0,0,0,0,21,100,10.06,17,8.1,2.95,1,4.8,0.48,1,0.5,1,0.48
610364,DUBOIS,Network 13,2014-2015,S1,37,9,26,2,8,21.6,6,16.2,2.86,5,2.4,1.33,2,5.4,0.95,2,1,3,2,5.4,0.95,2,1,0,0
610364,DUBOIS,Network 13,2014-2015,EOY,58,12,42,4,22,37.9,13,22.4,6.08,10,4.7,1.23,9,15.5,4.21,9,4.2,1.67,3,5.2,1.4,3,1.4,0,0
610263,DULLES,Network - AUSL,2011-2012,EOY,125,9,87,29,121,96.8,20,16,3.85,18,3.5,2.15,101,80.8,19.46,60,11.6,2.89,9,7.2,1.73,5,1,0,0
610263,DULLES,Network - AUSL,2012-2013,EOY,257,3,240,14,244,94.9,3,1.2,0.57,3,0.6,1.33,243,94.6,46.13,132,25.1,2.46,6,2.3,1.14,6,1.1,0,0
610263,DULLES,AUSL,2013-2014,S1,126,33,91,2,124,98.4,7,5.6,0.89,7,0.9,1,117,92.9,14.83,91,11.5,2.09,1,0.8,0.13,1,0.1,0,0
610263,DULLES,AUSL,2013-2014,EOY,200,47,150,3,191,95.5,7,3.5,0.88,7,0.9,1,184,92,23.08,123,15.4,2.22,1,0.5,0.13,1,0.1,0,0
610263,DULLES,AUSL,2014-2015,S1,117,23,86,8,40,34.2,19,16.2,2.45,17,2.2,1.32,21,17.9,2.71,17,2.2,2.19,5,4.3,0.65,4,0.5,0,0
610263,DULLES,AUSL,2014-2015,EOY,240,43,164,33,131,54.6,21,8.8,2.71,18,2.3,1.33,110,45.8,14.2,61,7.9,1.91,14,5.8,1.81,12,1.5,2,0.26
610266,DUMAS TECH ACAD,ES Network - Burnham Park,2011-2012,EOY,213,85,106,22,209,98.1,4,1.9,1.1,4,1.1,2,205,96.2,56.23,85,23.3,2.67,11,5.2,3.02,10,2.7,0,0
610266,DUMAS TECH ACAD,ES Network - Burnham Park,2012-2013,EOY,162,60,93,9,161,99.4,4,2.5,1.24,4,1.2,1,159,98.1,49.24,87,26.9,2.35,4,2.5,1.24,4,1.2,0,0
609676,DUNBAR HS,HS Network - South Side,2011-2012,EOY,1954,1159,640,155,1902,97.3,839,42.9,61.99,458,33.8,1.81,1063,54.4,78.54,533,39.4,4.03,17,0.9,1.26,17,1.3,3,0.22
609676,DUNBAR HS,HS Network - South Side,2012-2013,EOY,2450,1436,880,134,2213,90.3,1240,50.6,103.94,539,45.2,1.53,1084,44.2,90.87,508,42.6,2.93,29,1.2,2.43,27,2.3,11,0.92
609676,DUNBAR HS,Network 9,2013-2014,S1,1408,941,437,30,1311,93.1,822,58.4,72.84,402,35.6,1.49,560,39.8,49.62,304,26.9,2.41,6,0.4,0.53,6,0.5,0,0
609676,DUNBAR HS,Network 9,2013-2014,EOY,2901,1658,1152,91,2694,92.9,1695,58.4,155.56,570,52.3,1.77,1171,40.4,107.47,472,43.3,2.67,19,0.7,1.74,19,1.7,2,0.18
609676,DUNBAR HS,Network 9,2014-2015,S1,1839,995,740,104,1318,71.7,784,42.6,82.1,330,34.6,1.35,583,31.7,61.05,279,29.2,2.45,18,1,1.89,18,1.9,1,0.1
609676,DUNBAR HS,Network 9,2014-2015,EOY,4417,1609,2629,179,3793,85.9,2735,61.9,308.68,606,68.4,1.2,1128,25.5,127.31,412,46.5,2.38,32,0.7,3.61,29,3.3,4,0.45
610188,DUNNE TECH ACAD,ES Network - Rock Island,2011-2012,EOY,15,4,10,1,15,100,0,0,0,0,0,0,15,100,4.81,13,4.2,2.4,0,0,0,0,0,0,0
610188,DUNNE TECH ACAD,ES Network - Rock Island,2012-2013,EOY,14,4,8,2,13,92.9,0,0,0,0,0,0,13,92.9,4.23,11,3.6,2.46,0,0,0,0,0,0,0
610188,DUNNE TECH ACAD,Network 13,2013-2014,S1,14,4,6,4,14,100,1,7.1,0.34,1,0.3,1,14,100,4.78,11,3.8,1.79,1,7.1,0.34,1,0.3,0,0
610188,DUNNE TECH ACAD,Network 13,2013-2014,EOY,35,12,18,5,35,100,2,5.7,0.69,2,0.7,1,34,97.1,11.67,21,7.2,1.76,1,2.9,0.34,1,0.3,0,0
610188,DUNNE TECH ACAD,Network 13,2014-2015,S1,14,9,4,1,3,21.4,3,21.4,1.23,2,0.8,1,3,21.4,1.23,2,0.8,1.33,1,7.1,0.41,1,0.4,0,0
610188,DUNNE TECH ACAD,Network 13,2014-2015,EOY,25,16,8,1,6,24,5,20,1.99,4,1.6,1,5,20,1.99,3,1.2,1.4,1,4,0.4,1,0.4,0,0
610320,DUPREY,ES Network - Fulton,2011-2012,EOY,35,18,12,5,25,71.4,13,37.1,12.04,10,9.3,1.46,12,34.3,11.11,7,6.5,3.75,2,5.7,1.85,1,0.9,0,0
610320,DUPREY,ES Network - Fulton,2012-2013,EOY,67,24,37,6,45,67.2,28,41.8,28.83,18,18.5,1.18,18,26.9,18.53,10,10.3,1.89,0,0,0,0,0,0,0
610352,DURKIN PARK,ES Network - Midway,2011-2012,EOY,8,0,8,0,8,100,0,0,0,0,0,0,8,100,1.46,5,0.9,1.75,0,0,0,0,0,0,0
610352,DURKIN PARK,ES Network - Midway,2012-2013,EOY,8,0,8,0,8,100,0,0,0,0,0,0,8,100,1.34,7,1.2,1.63,0,0,0,0,0,0,0
610352,DURKIN PARK,Network 10,2013-2014,S1,10,3,7,0,7,70,0,0,0,0,0,0,7,70,1.19,6,1,2.57,0,0,0,0,0,0,0
610352,DURKIN PARK,Network 10,2013-2014,EOY,22,3,17,2,19,86.4,0,0,0,0,0,0,19,86.4,3.21,17,2.9,2.53,0,0,0,0,0,0,0
610352,DURKIN PARK,Network 10,2014-2015,S1,2,0,2,0,1,50,1,50,0.16,1,0.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
610352,DURKIN PARK,Network 10,2014-2015,EOY,9,1,8,0,5,55.6,4,44.4,0.64,4,0.6,1.75,1,11.1,0.16,1,0.2,2,0,0,0,0,0,0,0
610254,DVORAK TECH ACAD,ES Network - Austin-North Lawndale,2011-2012,EOY,8,0,7,1,8,100,0,0,0,0,0,0,8,100,1.48,7,1.3,3.5,2,25,0.37,2,0.4,0,0
610254,DVORAK TECH ACAD,ES Network - Austin-North Lawndale,2012-2013,EOY,27,9,16,2,22,81.5,5,18.5,0.96,4,0.8,1.2,17,63,3.27,17,3.3,2.12,2,7.4,0.38,2,0.4,0,0
610254,DVORAK TECH ACAD,Network 5,2013-2014,S1,40,17,17,6,25,62.5,2,5,0.37,2,0.4,2,23,57.5,4.28,22,4.1,2.48,6,15,1.12,5,0.9,0,0
610254,DVORAK TECH ACAD,Network 5,2013-2014,EOY,101,42,50,9,63,62.4,12,11.9,2.22,11,2,2,55,54.5,10.18,45,8.3,2.25,15,14.9,2.78,12,2.2,0,0
610254,DVORAK TECH ACAD,AUSL,2014-2015,S1,58,33,21,4,10,17.2,3,5.2,0.65,3,0.7,3,7,12.1,1.52,6,1.3,2,2,3.4,0.43,1,0.2,0,0
610254,DVORAK TECH ACAD,AUSL,2014-2015,EOY,165,102,57,6,31,18.8,9,5.5,1.97,8,1.8,1.78,22,13.3,4.82,18,3.9,2.45,2,1.2,0.44,1,0.2,0,0
609736,DYETT HS,HS Network - South Side,2011-2012,EOY,244,34,181,29,242,99.2,17,7,5.63,17,5.6,1.24,225,92.2,74.58,140,46.4,3.34,90,36.9,29.83,72,23.9,1,0.33
609736,DYETT HS,HS Network - South Side,2012-2013,EOY,1024,600,388,36,985,96.2,726,70.9,470.01,139,90,1.02,265,25.9,171.56,102,66,2.42,96,9.4,62.15,63,40.8,3,1.94
609736,DYETT HS,Network 9,2013-2014,S1,118,72,39,7,109,92.4,58,49.2,74.04,39,49.8,1.12,53,44.9,67.65,28,35.7,3.06,4,3.4,5.11,4,5.1,0,0
609736,DYETT HS,Network 9,2013-2014,EOY,204,149,48,7,183,89.7,111,54.4,149.73,52,70.1,1.12,74,36.3,99.82,33,44.5,2.8,4,2,5.4,4,5.4,1,1.35
609736,DYETT HS,Network 9,2014-2015,EOY,1,1,0,0,1,100,1,100,7.71,1,7.7,2,0,0,0,0,0,0,0,0,0,0,0,0,0
610316,EARHART,ES Network - Skyway,2011-2012,EOY,49,9,35,5,38,77.6,0,0,0,0,0,0,38,77.6,14.52,23,8.8,1.87,2,4.1,0.76,2,0.8,1,0.38
610316,EARHART,ES Network - Skyway,2012-2013,EOY,59,9,49,1,33,55.9,0,0,0,0,0,0,33,55.9,13.46,23,9.4,1.76,0,0,0,0,0,0,0
610316,EARHART,Network 12,2013-2014,S1,18,0,17,1,18,100,0,0,0,0,0,0,18,100,6.93,11,4.2,1.61,0,0,0,0,0,0,0
610316,EARHART,Network 12,2013-2014,EOY,35,0,34,1,34,97.1,0,0,0,0,0,0,34,97.1,13.19,18,7,1.65,0,0,0,0,0,0,0
610316,EARHART,Network 12,2014-2015,S1,1,0,1,0,1,100,0,0,0,0,0,0,1,100,0.4,1,0.4,2,0,0,0,0,0,0,0
610316,EARHART,Network 12,2014-2015,EOY,4,1,3,0,3,75,0,0,0,0,0,0,3,75,1.2,1,0.4,1.67,0,0,0,0,0,0,0
609897,EARLE,ES Network - Englewood-Gresham,2011-2012,EOY,387,202,176,9,381,98.4,15,3.9,4.37,11,3.2,2.07,366,94.6,106.64,132,38.5,2.91,4,1,1.17,3,0.9,1,0.29
609897,EARLE,ES Network - Englewood-Gresham,2012-2013,EOY,275,104,168,3,266,96.7,25,9.1,7.3,22,6.4,1.6,242,88,70.68,98,28.6,2.58,4,1.5,1.17,4,1.2,0,0
609897,EARLE,Network 11,2013-2014,S1,81,7,74,0,76,93.8,0,0,0,0,0,0,76,93.8,14.31,48,9,1.45,0,0,0,0,0,0,0
609897,EARLE,Network 11,2013-2014,EOY,159,11,145,3,146,91.8,1,0.6,0.19,1,0.2,1,146,91.8,27.01,82,15.2,1.8,0,0,0,0,0,0,0
609897,EARLE,Network 11,2014-2015,S1,35,23,7,5,14,40,4,11.4,0.77,3,0.6,1.25,10,28.6,1.93,9,1.7,2.8,0,0,0,0,0,0,0
609897,EARLE,Network 11,2014-2015,EOY,86,54,25,7,40,46.5,16,18.6,3.05,15,2.9,1.81,24,27.9,4.57,19,3.6,2.46,0,0,0,0,0,0,0
609898,EBERHART,ES Network - Midway,2011-2012,EOY,172,68,98,6,167,97.1,47,27.3,2.64,39,2.2,2.21,120,69.8,6.75,71,4,2.89,1,0.6,0.06,1,0.1,0,0
609898,EBERHART,ES Network - Midway,2012-2013,EOY,260,110,136,14,254,97.7,86,33.1,5.17,51,3.1,2.38,175,67.3,10.52,109,6.6,2.65,10,3.8,0.6,9,0.5,1,0.06
609898,EBERHART,Network 10,2013-2014,S1,97,50,32,15,93,95.9,32,33,1.99,19,1.2,2.63,62,63.9,3.85,39,2.4,3.11,1,1,0.06,1,0.1,0,0
609898,EBERHART,Network 10,2013-2014,EOY,210,93,91,26,200,95.2,66,31.4,4.09,41,2.5,2.59,139,66.2,8.6,83,5.1,2.99,5,2.4,0.31,4,0.2,0,0
609898,EBERHART,Network 10,2014-2015,S1,73,61,9,3,23,31.5,12,16.4,0.77,9,0.6,2.25,11,15.1,0.71,11,0.7,2.18,3,4.1,0.19,3,0.2,0,0
609898,EBERHART,Network 10,2014-2015,EOY,188,141,39,8,94,50,50,26.6,3.19,37,2.4,1.98,53,28.2,3.38,36,2.3,2.17,10,5.3,0.64,7,0.4,1,0.06
609899,EBINGER,ES Network - O'Hare,2011-2012,EOY,21,6,12,3,17,81,3,14.3,0.46,3,0.5,1.67,14,66.7,2.14,12,1.8,2.07,1,4.8,0.15,1,0.2,0,0
609899,EBINGER,ES Network - O'Hare,2012-2013,EOY,40,22,18,0,22,55,5,12.5,0.71,5,0.7,1,17,42.5,2.43,9,1.3,1.12,0,0,0,0,0,0,0
609899,EBINGER,Network 1,2013-2014,S1,11,7,4,0,7,63.6,3,27.3,0.41,3,0.4,1,4,36.4,0.54,4,0.5,1.25,0,0,0,0,0,0,0
609899,EBINGER,Network 1,2013-2014,EOY,29,17,12,0,24,82.8,13,44.8,1.77,9,1.2,1,11,37.9,1.5,9,1.2,1.18,0,0,0,0,0,0,0
