School ID,School Name,School Network,School Year,Time Period1,# of Misconducts,# of Group 1-2 Misconducts,# of Group 3-4 Misconducts,# of Group 5-6 Misconducts,# of Suspensions (includes ISS and OSS),"% of Misconducts Resulting in a Suspension
(includes ISS and OSS)",# of ISS,% of Misconducts Resulting in an ISS,ISS per 100 Students,# of Unique Students Receiving ISS,% of Unique Students Receiving ISS,Average Length of ISS,# of OSS,% of Misconducts Resulting in an OSS,OSS per 100 Students,# of Unique Students Receiving OSS,% of Unique Students Receiving OSS,Average Length of OSS,# of Police Notifications,% of Misconducts Resulting in a Police Notification,Police Notifications per 100 Students,# of Unique Students Receiving Police Notification,% of Unique Students Receiving Police Notification,# of Students Expelled,Expulsions per 100 Students
610381,BRONZEVILLE HS,OS4,2013-2014,EOY,570,229,308,33,509,89.3,159,27.9,32.82,117,24.1,1.15,352,61.8,72.65,178,36.7,2.36,8,1.4,1.65,8,1.7,0,0
610381,BRONZEVILLE HS,OS4,2014-2015,S1,197,87,98,12,153,77.7,78,39.6,16.44,72,15.2,1.04,75,38.1,15.81,62,13.1,2.36,0,0,0,0,0,0,0
610381,BRONZEVILLE HS,OS4,2014-2015,EOY,350,150,171,29,304,86.9,142,40.6,30.85,119,25.9,1.07,163,46.6,35.41,109,23.7,2.48,2,0.6,0.43,2,0.4,0,0
400019,BRONZEVILLE LIGHTHOUSE,Charter,2014-2015,EOY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,1,0.22
400019,BRONZEVILLE LTHOUSE CHTR CAMPUS,Network - Charter/Contract,2011-2012,EOY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,1.15
400019,BRONZEVILLE LTHOUSE CHTR CAMPUS,Network - Charter/Contract,2012-2013,EOY,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,0.47
609726,BROOKS HS,HS Network - Far South Side,2011-2012,EOY,92,76,13,3,12,13,0,0,0,0,0,0,12,13,1.55,12,1.5,3.83,3,3.3,0.39,3,0.4,0,0
609726,BROOKS HS,HS Network - Far South Side,2012-2013,EOY,72,17,32,23,63,87.5,2,2.8,0.27,2,0.3,1,61,84.7,8.24,50,6.8,3.61,5,6.9,0.68,5,0.7,0,0
609726,BROOKS HS,Network 13,2013-2014,S1,28,13,9,6,14,50,0,0,0,0,0,0,14,50,1.8,13,1.7,4.43,3,10.7,0.39,3,0.4,0,0
609726,BROOKS HS,Network 13,2013-2014,EOY,151,99,36,16,39,25.8,1,0.7,0.13,1,0.1,2,38,25.2,4.93,34,4.4,4.45,4,2.6,0.52,4,0.5,0,0
609726,BROOKS HS,Network 13,2014-2015,S1,199,143,43,13,20,10.1,6,3,0.76,4,0.5,2,14,7,1.78,14,1.8,3.5,0,0,0,0,0,0,0
609726,BROOKS HS,Network 13,2014-2015,EOY,363,268,81,14,49,13.5,27,7.4,3.45,24,3.1,1.52,22,6.1,2.81,21,2.7,3.27,0,0,0,0,0,0,0
610091,"BROWN, R",ES Network - Lake Calumet,2011-2012,EOY,80,36,42,2,70,87.5,3,3.8,1.07,1,0.4,2.33,67,83.8,23.83,47,16.7,2.15,1,1.3,0.36,1,0.4,0,0
610091,"BROWN, R",ES Network - Lake Calumet,2012-2013,EOY,123,35,82,6,117,95.1,3,2.4,1.05,3,1,1.33,114,92.7,39.73,51,17.8,2.02,0,0,0,0,0,0,0
610091,"BROWN, R",Network 13,2013-2014,S1,58,30,28,0,45,77.6,7,12.1,2.32,7,2.3,1.57,40,69,13.26,23,7.6,2.2,1,1.7,0.33,1,0.3,0,0
610091,"BROWN, R",Network 13,2013-2014,EOY,79,37,42,0,59,74.7,12,15.2,3.83,11,3.5,2.17,49,62,15.64,26,8.3,2.16,1,1.3,0.32,1,0.3,0,0
610091,"BROWN, R",Network 13,2014-2015,S1,101,71,29,1,24,23.8,11,10.9,3.57,11,3.6,1.55,13,12.9,4.22,10,3.2,1.69,0,0,0,0,0,0,0
610091,"BROWN, R",Network 13,2014-2015,EOY,136,101,34,1,40,29.4,15,11,4.8,15,4.8,1.4,25,18.4,8,11,3.5,1.8,0,0,0,0,0,0,0
609812,"BROWN, W",ES Network - Fulton,2011-2012,EOY,88,13,70,5,84,95.5,6,6.8,2.83,5,2.4,2,78,88.6,36.78,40,18.9,2.15,1,1.1,0.47,1,0.5,0,0
609812,"BROWN, W",ES Network - Fulton,2012-2013,EOY,111,41,67,3,54,48.6,11,9.9,5.11,10,4.6,1.36,48,43.2,22.32,28,13,1.88,0,0,0,0,0,0,0
609812,"BROWN, W",OS4,2013-2014,S1,136,95,38,3,52,38.2,25,18.4,10.93,15,6.6,1.44,28,20.6,12.24,21,9.2,2.75,0,0,0,0,0,0,0
609812,"BROWN, W",OS4,2013-2014,EOY,193,133,53,7,74,38.3,31,16.1,13.32,18,7.7,1.55,44,22.8,18.91,29,12.5,2.68,1,0.5,0.43,1,0.4,0,0
609812,"BROWN, W",OS4,2014-2015,S1,32,20,8,4,12,37.5,3,9.4,1.22,3,1.2,1.67,9,28.1,3.66,8,3.2,3.33,6,18.8,2.44,6,2.4,0,0
609812,"BROWN, W",OS4,2014-2015,EOY,100,66,29,5,26,26,10,10,4.01,8,3.2,1.6,16,16,6.42,13,5.2,2.69,6,6,2.41,6,2.4,0,0
609813,BROWNELL,ES Network - Skyway,2011-2012,EOY,38,4,34,0,38,100,1,2.6,0.33,1,0.3,1,37,97.4,12.27,32,10.6,2.08,0,0,0,0,0,0,0
609813,BROWNELL,ES Network - Skyway,2012-2013,EOY,70,7,61,2,68,97.1,9,12.9,3.16,8,2.8,1.78,62,88.6,21.78,37,13,2.15,1,1.4,0.35,1,0.4,0,0
609813,BROWNELL,Network 12,2013-2014,S1,19,0,12,7,18,94.7,0,0,0,0,0,0,18,94.7,6.99,16,6.2,3,7,36.8,2.72,7,2.7,0,0
609813,BROWNELL,Network 12,2013-2014,EOY,40,4,29,7,34,85,6,15,2.33,6,2.3,1.33,28,70,10.86,25,9.7,2.57,7,17.5,2.72,7,2.7,0,0
609813,BROWNELL,Network 12,2014-2015,S1,21,4,17,0,21,100,18,85.7,7.21,15,6,1.5,3,14.3,1.2,3,1.2,2,0,0,0,0,0,0,0
609813,BROWNELL,Network 12,2014-2015,EOY,46,10,36,0,45,97.8,23,50,9.39,20,8.2,1.61,22,47.8,8.98,12,4.9,2.14,2,4.3,0.82,2,0.8,0,0
